step,loss,seconds,tokens,mlx_active_peak_bytes,mlx_active_bytes,mlx_cache_bytes,rss_peak_bytes
0,10.396567821502686,2.0329975000058766,8192,4395786448,1417679064,1073756196,992722944
1,10.360120296478271,1.9973634999769274,8192,5301758288,1417679064,1073755160,1041514496
2,10.20525312423706,2.0844070829916745,8192,5301758288,1417679064,1073754572,1043480576
3,9.896499633789062,2.0338325000193436,8192,5301758288,1417679064,1074804188,1111523328
4,9.607277870178223,2.075937874993542,8192,5301758288,1417679064,1076902116,1215512576
5,9.401662826538086,2.0120229170133825,8192,5301758288,1417679064,1073755628,1215660032
6,9.12752628326416,1.8592412500001956,8192,5301758288,1417679064,1075852572,1266499584
7,8.94751501083374,1.8751225419982802,8192,5301758288,1417679064,1075852268,1287159808
8,8.70183801651001,1.8610685839958023,8192,5301758288,1417679064,1076900212,1301397504
9,8.472141742706299,1.825912290980341,8192,5301758288,1417679064,1076901304,1326579712
10,8.451557636260986,1.8527121669903863,8192,5301758288,1417679064,1073755120,2241183744
11,8.178814888000488,1.8248620839731302,8192,5301758288,1417679064,1074803708,2241183744
12,8.08797550201416,1.843429708009353,8192,5301758288,1417679064,1073756184,2241314816
13,8.196790218353271,1.847464749997016,8192,5301758288,1417679064,1073755100,2241445888
14,7.970118522644043,1.8496946670056786,8192,5301758288,1417679064,1076899748,2275082240
15,7.944040060043335,1.8581118329893798,8192,5301758288,1417679064,1073754464,2275180544
16,7.875287294387817,1.9054732079966925,8192,5301758288,1417679064,1075852176,2275229696
17,7.674039602279663,1.9140774169936776,8192,5301758288,1417679064,1073754568,2275229696
18,7.607704162597656,1.9143172079930082,8192,5301758288,1417679064,1076901268,2275229696
19,7.676764726638794,2.0112539169786032,8192,5301758288,1417679064,1076900776,2275508224
20,7.544232130050659,1.9251286659855396,8192,5301758288,1417679064,1073755076,2275508224
21,7.5481016635894775,1.9260245419864077,8192,5301758288,1417679064,1074803640,2275508224
22,7.414426326751709,1.938064249989111,8192,5301758288,1417679064,1073755100,2275508224
23,7.335960626602173,1.9450655000109691,8192,5301758288,1417679064,1074804768,2275508224
24,7.395889520645142,1.9700942499912344,8192,5301758288,1417679064,1073755008,2275508224
25,7.56850528717041,1.9680286670045462,8192,5301758288,1417679064,1073754476,2275508224
26,7.433762073516846,1.953873582999222,8192,5301758288,1417679064,1074804772,2275508224
27,7.360162258148193,1.9568486670032144,8192,5301758288,1417679064,1074803664,2275508224
28,7.2251975536346436,1.9703436250274535,8192,5301758288,1417679064,1074803700,2275508224
29,7.203241348266602,1.9914474579854868,8192,5301758288,1417679064,1073755048,2275508224
30,7.2077250480651855,2.028712916013319,8192,5301758288,1417679064,1075851752,2275508224
31,7.259140968322754,2.0274394160078373,8192,5301758288,1417679064,1073755044,2275508224
32,7.038681983947754,2.0035787079832517,8192,5301758288,1417679064,1074803732,2275508224
33,7.114861965179443,1.9919020000088494,8192,5301758288,1417679064,1076901340,2275508224
34,7.14323091506958,1.979666916973656,8192,5301758288,1417679064,1076900256,2275508224
35,7.1366987228393555,1.9803512500075158,8192,5301758288,1417679064,1076900276,2275508224
36,7.2041215896606445,1.988813832984306,8192,5301758288,1417679064,1076900848,2275508224
37,7.139233112335205,1.983607124973787,8192,5301758288,1417679064,1073756064,2275508224
38,7.233090400695801,1.96973304200219,8192,5301758288,1417679064,1076900200,2275508224
39,7.024827718734741,1.9591922919789795,8192,5301758288,1417679064,1073756236,2275508224
40,7.07618260383606,2.0086174580210354,8192,5301758288,1417679064,1076902488,2275508224
41,7.197687864303589,2.0464096660143696,8192,5301758288,1417679064,1073755052,2275508224
42,6.998459339141846,1.982297375012422,8192,5301758288,1417679064,1073755120,2275508224
43,6.880952596664429,2.0224268750171177,8192,5301758288,1417679064,1073754624,2275508224
44,6.970109462738037,2.04813050001394,8192,5301758288,1417679064,1075851096,2275508224
45,7.0997700691223145,2.005962166003883,8192,5301758288,1417679064,1075851720,2275508224
46,7.077832937240601,1.9890328330220655,8192,5301758288,1417679064,1073754668,2275508224
47,7.2350287437438965,1.9875899589969777,8192,5301758288,1417679064,1076901028,2275508224
48,6.948242902755737,2.0180881249834783,8192,5301758288,1417679064,1075852112,2275508224
49,6.90039849281311,1.9883981669845525,8192,5301758288,1417679064,1074803576,2275508224
50,7.07096266746521,1.9957356250088196,8192,5301758288,1417679064,1074803904,2275508224
51,6.9643940925598145,2.0167532920022495,8192,5301758288,1417679064,1075852336,2275508224
52,7.0519325733184814,2.001145666989032,8192,5301758288,1417679064,1074804148,2275508224
53,6.9505615234375,1.9762208749889396,8192,5301758288,1417679064,1074805324,2275508224
54,6.900991678237915,2.0158418329956476,8192,5301758288,1417679064,1074803100,2275508224
55,6.911069631576538,2.062579209014075,8192,5301758288,1417679064,1073754516,2275508224
56,6.858672380447388,1.9793101660034154,8192,5301758288,1417679064,1073755012,2275508224
57,6.833064079284668,2.0102103749813978,8192,5301758288,1417679064,1073756696,2275508224
58,6.806483268737793,2.0185693750099745,8192,5301758288,1417679064,1074803108,2275508224
59,6.890367031097412,1.9928467080171686,8192,5301758288,1417679064,1073755180,2275508224
60,6.919035911560059,1.9955277090193704,8192,5301758288,1417679064,1076900704,2275508224
61,6.801110506057739,1.996750833990518,8192,5301758288,1417679064,1074803756,2275508224
62,6.634286403656006,2.019853250007145,8192,5301758288,1417679064,1073754532,2275508224
63,6.658910751342773,2.03486408398021,8192,5301758288,1417679064,1074803684,2275508224
64,6.836134433746338,2.058265041996492,8192,5301758288,1417679064,1073755056,2275508224
65,6.865689277648926,2.068612375005614,8192,5301758288,1417679064,1075851720,2275508224
66,6.881307125091553,2.0012766669970006,8192,5301758288,1417679064,1073755056,2275508224
67,6.8517820835113525,1.9916534170042723,8192,5301758288,1417679064,1073756224,2275508224
68,6.782116889953613,2.048211374989478,8192,5301758288,1417679064,1074803212,2275508224
69,6.8641135692596436,2.0388510830234736,8192,5301758288,1417679064,1074804256,2275508224
70,6.635580539703369,2.0555294579826295,8192,5301758288,1417679064,1075852268,2275508224
71,6.787708520889282,2.1006497500056867,8192,5301758288,1417679064,1075851764,2275508224
72,6.848277568817139,2.118765749997692,8192,5301758288,1417679064,1074804256,2275508224
73,6.644317626953125,2.194340000016382,8192,5301758288,1417679064,1073755636,2275508224
74,6.750146389007568,2.0888302079983987,8192,5301758288,1417679064,1073755540,2275508224
75,6.767955541610718,2.1141371660050936,8192,5301758288,1417679064,1076900280,2275508224
76,6.659636735916138,2.0936804999946617,8192,5301758288,1417679064,1074804252,2275508224
77,6.785407543182373,2.1221328340179753,8192,5301758288,1417679064,1073755628,2275508224
78,6.492938995361328,2.036293291981565,8192,5301758288,1417679064,1074804844,2275508224
79,6.734491348266602,2.015453542000614,8192,5301758288,1417679064,1073755672,2275508224
80,6.737573623657227,2.025896625011228,8192,5301758288,1417679064,1073754996,2275508224
81,6.702651262283325,2.135391499992693,8192,5301758288,1417679064,1073754616,2275508224
82,6.555924654006958,2.142689833010081,8192,5301758288,1417679064,1074804704,2275508224
83,6.55423903465271,2.0506822089955676,8192,5301758288,1417679064,1075853320,2275508224
84,6.744107246398926,2.14151824999135,8192,5301758288,1417679064,1075852824,2275508224
85,6.607990741729736,2.169344624999212,8192,5301758288,1417679064,1075851588,2275508224
86,6.572933673858643,2.11783450000803,8192,5301758288,1417679064,1073755664,2275508224
87,6.634660959243774,2.1042557089822367,8192,5301758288,1417679064,1076910232,2275508224
88,6.618051052093506,2.045552666997537,8192,5301758288,1417679064,1073756180,2275508224
89,6.515064716339111,2.0087578750099055,8192,5301758288,1417679064,1073754484,2275508224
90,6.610767364501953,1.9984972500242293,8192,5301758288,1417679064,1075852208,2275508224
91,6.619683265686035,2.0308969159959815,8192,5301758288,1417679064,1075851704,2275508224
92,6.669705152511597,2.2895925829943735,8192,5301758288,1417679064,1076902048,2275508224
93,6.60171103477478,2.072688999993261,8192,5301758288,1417679064,1074803092,2275508224
94,6.63134241104126,2.1720607499883045,8192,5301758288,1417679064,1074819544,2275508224
95,6.608787775039673,2.0577155420032796,8192,5301758288,1417679064,1073754504,2275508224
96,6.619318246841431,2.002833708014805,8192,5301758288,1417679064,1076900832,2275508224
97,6.5161590576171875,2.0074551249854267,8192,5301758288,1417679064,1073754616,2275508224
98,6.674173831939697,2.106555250007659,8192,5301758288,1417679064,1076900408,2275508224
99,6.720559597015381,1.9977799580083229,8192,5301758288,1417679064,1073755044,2275508224
