step,loss,seconds,tokens,mlx_active_peak_bytes,mlx_active_bytes,mlx_cache_bytes,rss_peak_bytes
0,10.396567821502686,0.8088111669931095,8192,4664221904,1417679064,1075852272,634421248
1,10.360120296478271,0.7968215409782715,8192,5570193744,1417679064,1073755168,634519552
2,10.20525312423706,0.7973399999900721,8192,5570193744,1417679064,1075868096,634585088
3,9.896499633789062,0.8105780420009978,8192,5570193744,1417679064,1074802572,634683392
4,9.60727834701538,0.7739117079763673,8192,5570193744,1417679064,1073754592,634830848
5,9.401662826538086,0.8180580000043847,8192,5570193744,1417679064,1074801592,634945536
6,9.12752628326416,0.8104266249865759,8192,5570193744,1417679064,1073770396,635011072
7,8.94751501083374,0.8003944999945816,8192,5570193744,1417679064,1073755696,635076608
8,8.701838493347168,0.7929901249881368,8192,5570193744,1417679064,1076902124,635142144
9,8.472141742706299,0.8176652080146596,8192,5570193744,1417679064,1073755580,635207680
10,8.451557636260986,0.8156397500133608,8192,5570193744,1417679064,1075852184,1541488640
11,8.178814888000488,0.8092322500015143,8192,5570193744,1417679064,1073754468,1541570560
12,8.08797550201416,0.8628483329957817,8192,5570193744,1417679064,1074803672,1541636096
13,8.196790218353271,0.7995998330006842,8192,5570193744,1417679064,1073754012,1541701632
14,7.970118522644043,0.7842222499893978,8192,5570193744,1417679064,1076900272,1541767168
15,7.944040060043335,0.8187197080114856,8192,5570193744,1417679064,1073755636,1541832704
16,7.875287294387817,0.8205118339974433,8192,5570193744,1417679064,1075852244,1541898240
17,7.674039363861084,0.7895383329887409,8192,5570193744,1417679064,1073755076,1541963776
18,7.607704162597656,0.7821490839996841,8192,5570193744,1417679064,1073755588,1542029312
19,7.676764488220215,0.7885549170023296,8192,5570193744,1417679064,1073819152,1542111232
20,7.544232130050659,0.8003442920162342,8192,5570193744,1417679064,1074804204,1542176768
21,7.5481016635894775,0.8336851659987587,8192,5570193744,1417679064,1075851736,1542242304
22,7.414425849914551,0.7894017910002731,8192,5570193744,1417679064,1073755080,1542307840
23,7.335960626602173,0.8142727500235196,8192,5570193744,1417679064,1075852780,1542373376
24,7.395889043807983,0.8256592499965336,8192,5570193744,1417679064,1073754516,1542438912
25,7.568505048751831,0.8058000839955639,8192,5570193744,1417679064,1075851692,1542504448
26,7.433762788772583,0.799272333009867,8192,5570193744,1417679064,1074819484,1542569984
27,7.360163927078247,0.9035251250024885,8192,5570193744,1417679064,1073741824,1542635520
28,7.225198984146118,0.813540417002514,8192,5570193744,1417679064,1073756184,1542733824
29,7.203238248825073,0.794109667011071,8192,5570193744,1417679064,1073753780,1542799360
30,7.207712650299072,0.7982897089968901,8192,5570193744,1417679064,1075853792,1542864896
31,7.259151220321655,0.7762471250025555,8192,5570193744,1417679064,1076900280,1542930432
32,7.038670301437378,0.7995390839932952,8192,5570193744,1417679064,1074820144,1542995968
33,7.114858388900757,0.7790731670102105,8192,5570193744,1417679064,1073754536,1543061504
34,7.143237113952637,0.8154544999997597,8192,5570193744,1417679064,1076917284,1543127040
35,7.136687517166138,0.7897500830003992,8192,5570193744,1417679064,1074803660,1543192576
36,7.204120874404907,0.8381067079899367,8192,5570193744,1417679064,1075852260,1543258112
37,7.139214754104614,0.7824339579965454,8192,5570193744,1417679064,1075852208,1543323648
38,7.233081340789795,0.7976793749839999,8192,5570193744,1417679064,1076900788,1543389184
39,7.024818420410156,0.7989287920063362,8192,5570193744,1417679064,1076900816,1543454720
40,7.076173782348633,0.8437092500098515,8192,5570193744,1417679064,1075852760,1543520256
41,7.197697877883911,0.7826967499859165,8192,5570193744,1417679064,1073755540,1543585792
42,6.998455762863159,0.7855142089829315,8192,5570193744,1417679064,1075850804,1543651328
43,6.880950927734375,0.7850923750083894,8192,5570193744,1417679064,1076900256,1543716864
44,6.970113277435303,0.7982882920186967,8192,5570193744,1417679064,1075853320,1543782400
45,7.099761009216309,0.8036925000196788,8192,5570193744,1417679064,1073755684,1543847936
46,7.077825546264648,0.8365428340039216,8192,5570193744,1417679064,1076900348,1543913472
47,7.2350242137908936,0.7982944170071278,8192,5570193744,1417679064,1073755020,1543979008
48,6.948248624801636,0.8330129579990171,8192,5570193744,1417679064,1073755232,1544044544
49,6.900397777557373,0.8076393340015784,8192,5570193744,1417679064,1075852656,1544110080
50,7.070954322814941,0.7793745000089984,8192,5570193744,1417679064,1073771976,1544175616
51,6.964382886886597,0.7763515829865355,8192,5570193744,1417679064,1073753076,1544241152
52,7.0519373416900635,0.7976107919821516,8192,5570193744,1417679064,1073755772,1544306688
53,6.950551986694336,0.8229032499948516,8192,5570193744,1417679064,1073756764,1544372224
54,6.900986671447754,0.7969145420065615,8192,5570193744,1417679064,1073755100,1544437760
55,6.911075592041016,0.7760756660136394,8192,5570193744,1417679064,1075852236,1544503296
56,6.8586695194244385,0.7884915840113536,8192,5570193744,1417679064,1076900768,1544568832
57,6.83306884765625,0.8071282079908997,8192,5570193744,1417679064,1074802596,1544634368
58,6.806480407714844,0.806207917019492,8192,5570193744,1417679064,1073754568,1544699904
