step,loss,seconds,tokens,mlx_active_peak_bytes,mlx_active_bytes,mlx_cache_bytes,rss_peak_bytes
0,10.399089813232422,0.034846499998820946,256,1203577344,427885688,881802204,418971648
1,10.393640518188477,0.03022904199315235,256,1231102944,427885688,933968860,419004416
2,10.393356323242188,0.03191454100306146,256,1231102944,427885688,933968860,419037184
3,10.392078399658203,0.032885540975257754,256,1231102944,427885688,933968860,419086336
4,10.384073257446289,0.033173417003126815,256,1231102944,427885688,933968860,419086336
5,10.377476692199707,0.03185966701130383,256,1231102944,427885688,933968860,419168256
6,10.370985984802246,0.03214945801300928,256,1231102944,427885688,933968860,419168256
7,10.34678840637207,0.03325758400023915,256,1231102944,427885688,933968860,419250176
8,10.350881576538086,0.03484595799818635,256,1231102944,427885688,933968860,419250176
9,10.330184936523438,0.03339633301948197,256,1231102944,427885688,933968860,419282944
