step,loss,seconds,tokens,mlx_active_peak_bytes,mlx_active_bytes,mlx_cache_bytes,rss_peak_bytes
0,10.399089813232422,0.05739775000256486,256,1203577344,427885688,889560028,429801472
1,10.393640518188477,0.05491758298012428,256,1231102944,427885688,933862364,436224000
2,10.393356323242188,0.04992183297872543,256,1231102944,427885688,933862364,439402496
3,10.392078399658203,0.0523573340033181,256,1231102944,427885688,933862364,442613760
4,10.384073257446289,0.051181667018681765,256,1231102944,427885688,933862364,445792256
5,10.377476692199707,0.04902937501901761,256,1231102944,427885688,933862364,446922752
6,10.370985984802246,0.048280290997354314,256,1231102944,427885688,933862364,449036288
7,10.34678840637207,0.04983024997636676,256,1231102944,427885688,933862364,451133440
8,10.350881576538086,0.049778582993894815,256,1231102944,427885688,933862364,453246976
9,10.330184936523438,0.050730040995404124,256,1231102944,427885688,933862364,455360512
