step,path,raw_bytes,resident_bytes,mode,encode_seconds
0,blocks.0.P,1048576,565396,BITMAP,0.0016308339836541563
0,blocks.1.P,1048576,568756,BITMAP,0.001401791989337653
0,blocks.2.P,1048576,564152,BITMAP,0.0014190410147421062
0,blocks.3.P,1048576,565756,BITMAP,0.0013915419986005872
1,blocks.0.P,1048576,563096,BITMAP,0.001467375026550144
1,blocks.1.P,1048576,569328,BITMAP,0.0013363329926505685
1,blocks.2.P,1048576,566024,BITMAP,0.0013032499991822988
1,blocks.3.P,1048576,565848,BITMAP,0.00130487498245202
2,blocks.0.P,1048576,564988,BITMAP,0.001430749980499968
2,blocks.1.P,1048576,570892,BITMAP,0.0012557079899124801
2,blocks.2.P,1048576,565112,BITMAP,0.0013044170045759529
2,blocks.3.P,1048576,563452,BITMAP,0.0012988330272492021
3,blocks.0.P,1048576,567688,BITMAP,0.0016330410144291818
3,blocks.1.P,1048576,568080,BITMAP,0.0013664590078406036
3,blocks.2.P,1048576,565792,BITMAP,0.0013546250120270997
3,blocks.3.P,1048576,566888,BITMAP,0.0014299169997684658
4,blocks.0.P,1048576,565040,BITMAP,0.0013380000018514693
4,blocks.1.P,1048576,569616,BITMAP,0.0012533749977592379
4,blocks.2.P,1048576,565812,BITMAP,0.0012398330145515501
4,blocks.3.P,1048576,565212,BITMAP,0.0026021249941550195
5,blocks.0.P,1048576,562904,BITMAP,0.0014481249963864684
5,blocks.1.P,1048576,571800,BITMAP,0.0013309580099303275
5,blocks.2.P,1048576,565436,BITMAP,0.0013563749962486327
5,blocks.3.P,1048576,564660,BITMAP,0.0013369169901125133
6,blocks.0.P,1048576,565208,BITMAP,0.0016893339925445616
6,blocks.1.P,1048576,569480,BITMAP,0.001312417007284239
6,blocks.2.P,1048576,566328,BITMAP,0.0013243340072222054
6,blocks.3.P,1048576,565544,BITMAP,0.001314332999754697
7,blocks.0.P,1048576,564552,BITMAP,0.0013278340047691017
7,blocks.1.P,1048576,570756,BITMAP,0.0012339169916231185
7,blocks.2.P,1048576,565604,BITMAP,0.0012245000107213855
7,blocks.3.P,1048576,564848,BITMAP,0.001261416997294873
8,blocks.0.P,1048576,566384,BITMAP,0.0014872079773340374
8,blocks.1.P,1048576,567328,BITMAP,0.0012782499834429473
8,blocks.2.P,1048576,565880,BITMAP,0.0013003750063944608
8,blocks.3.P,1048576,568456,BITMAP,0.0012862909934483469
9,blocks.0.P,1048576,567236,BITMAP,0.001548041997011751
9,blocks.1.P,1048576,570480,BITMAP,0.0017678330186754465
9,blocks.2.P,1048576,567016,BITMAP,0.0013595829950645566
9,blocks.3.P,1048576,569196,BITMAP,0.0013329579960554838
