step,loss,seconds,tokens,mlx_active_peak_bytes,mlx_active_bytes,mlx_cache_bytes,rss_peak_bytes
0,10.399089813232422,0.04241320802248083,256,1201218832,427885688,881171420,422084608
1,10.393640518188477,0.04134633400826715,256,1231102944,427885688,933862364,422133760
2,10.393356323242188,0.039414708997355774,256,1231102944,427885688,933862364,422232064
3,10.392078399658203,0.0382913330104202,256,1231102944,427885688,933862364,422248448
4,10.384073257446289,0.040779749979265034,256,1231102944,427885688,933862364,422313984
5,10.377476692199707,0.03704987501259893,256,1231102944,427885688,933862364,422330368
6,10.370985984802246,0.03850516601232812,256,1231102944,427885688,933862364,422330368
7,10.34678840637207,0.0378693749953527,256,1231102944,427885688,933862364,422346752
8,10.350881576538086,0.037901542003965005,256,1231102944,427885688,933862364,422363136
9,10.330184936523438,0.038094042014563456,256,1231102944,427885688,933862364,422363136
