step,loss,seconds,tokens,mlx_active_peak_bytes,mlx_active_bytes,mlx_cache_bytes,rss_peak_bytes
0,10.399089813232422,0.05092325000441633,256,1203577344,427885688,888511500,420610048
1,10.393640518188477,0.039718084008200094,256,1231102944,427885688,933862412,420675584
2,10.393356323242188,0.03768237499753013,256,1231102944,427885688,933862412,420757504
3,10.392078399658203,0.038715916976798326,256,1231102944,427885688,933862412,420757504
4,10.384073257446289,0.03982616699067876,256,1231102944,427885688,933862412,420823040
5,10.377476692199707,0.039074666012311354,256,1231102944,427885688,933862412,420823040
6,10.370985984802246,0.04249724998953752,256,1231102944,427885688,933862412,420855808
7,10.34678840637207,0.04108041600557044,256,1231102944,427885688,933862412,420904960
8,10.350881576538086,0.0429204169777222,256,1231102944,427885688,933862412,420954112
9,10.330184936523438,0.045481542008928955,256,1231102944,427885688,933862412,420970496
