step,loss,seconds,tokens,mlx_active_peak_bytes,mlx_active_bytes,mlx_cache_bytes,rss_peak_bytes
0,10.396567821502686,5.180535207997309,8192,5255418748,511707224,1127246120,1514389504
1,10.360120296478271,7.438689416012494,8192,5255418748,511707224,1132568840,1514389504
2,10.20525312423706,8.190848333993927,8192,5255418748,511707224,1132486876,1514389504
3,9.896499633789062,8.939097458991455,8192,5255418748,511707224,1132618056,1514389504
4,9.60727834701538,9.46096395800123,8192,5255418748,511707224,1098934476,1514389504
5,9.401662826538086,10.039323125005467,8192,5255418748,511707224,1132486984,1635106816
6,9.127525806427002,10.52779074999853,8192,5255418748,511707224,1135894844,1635106816
7,8.94751501083374,11.074856291990727,8192,5255418748,511707224,1132503368,1635106816
8,8.701838493347168,11.464815416024067,8192,5255418748,511707224,1132584132,1635106816
9,8.472142219543457,11.79055450001033,8192,5255418748,511707224,1132552404,1635106816
10,8.451557636260986,12.129136790987104,8192,5255418748,511707224,1132486940,1969373184
11,8.178814888000488,12.406832792010391,8192,5255418748,511707224,1077044956,1969373184
12,8.08797550201416,12.617622833000496,8192,5255418748,511707224,1132667060,1969373184
13,8.196790218353271,12.94601916699321,8192,5255418748,511707224,1132568764,1969373184
14,7.970118522644043,13.190242500015302,8192,5255418748,511707224,1118939420,1969373184
15,7.944040060043335,13.556245540996315,8192,5255418748,511707224,1132486888,1969373184
16,7.875287055969238,13.760331124998629,8192,5255418748,511707224,1132683548,1969373184
17,7.674039363861084,13.860326624999288,8192,5255418748,511707224,1107388636,1969373184
18,7.607704401016235,14.102221000008285,8192,5255418748,511707224,1115728140,2103476224
19,7.676764488220215,14.375667375017656,8192,5255418748,511707224,1132503272,2103476224
20,7.54423189163208,14.547886375017697,8192,5255418748,511707224,1127358796,2103476224
21,7.5481016635894775,14.78242083400255,8192,5255418748,511707224,1133109596,2145484800
22,7.414425373077393,14.945111542008817,8192,5255418748,511707224,1132682580,2145484800
23,7.335960865020752,15.229986375023145,8192,5255418748,511707224,1135796540,2145484800
24,7.395888328552246,15.327293500013184,8192,5255418748,511707224,1132699924,2145484800
25,7.56850528717041,15.473531583993463,8192,5255418748,511707224,1132798132,2145484800
26,7.43376350402832,15.676703750010347,8192,5255418748,511707224,1132470504,2145484800
27,7.360165119171143,15.821425083006034,8192,5255418748,511707224,1107729588,2145484800
28,7.225200653076172,16.095553708990337,8192,5255418748,511707224,1132503272,2145484800
29,7.203235626220703,16.22394974998315,8192,5255418748,511707224,1132552508,2145484800
30,7.207700967788696,16.262759625009494,8192,5255418748,511707224,1132716284,2145484800
31,7.259160995483398,16.503866083017783,8192,5255418748,511707224,1132765428,2145484800
32,7.038660049438477,16.75812629199936,8192,5255418748,511707224,1132764500,2145484800
