step,path,raw_bytes,resident_bytes,mode,encode_seconds
0,wte.weight.m,67108864,9059809,GRAMMAR,0.14122137500089593
0,wte.weight.v,67108864,9058505,GRAMMAR,0.13852908299304545
0,blocks.0.attn.c_q.weight.buf,1048576,889,GRAMMAR,0.0006785840087104589
0,blocks.0.attn.c_k.weight.buf,1048576,889,GRAMMAR,0.000596875004703179
0,blocks.0.attn.c_v.weight.buf,1048576,889,GRAMMAR,0.0005670420068781823
0,blocks.0.attn.c_proj.weight.buf,1048576,1049401,RAW,0.02010187500854954
0,blocks.0.mlp.c_fc.weight.buf,4194304,2341,GRAMMAR,0.002664500003447756
0,blocks.0.mlp.c_proj.weight.buf,4194304,4195129,RAW,0.09299720800481737
0,blocks.1.attn.c_q.weight.buf,1048576,889,GRAMMAR,0.0006337500235531479
0,blocks.1.attn.c_k.weight.buf,1048576,889,GRAMMAR,0.0005701249756384641
0,blocks.1.attn.c_v.weight.buf,1048576,889,GRAMMAR,0.0005705409857910126
0,blocks.1.attn.c_proj.weight.buf,1048576,1049401,RAW,0.019432917004451156
0,blocks.1.attn.ve_gate.weight.buf,512,1022,RAW,3.575001028366387e-05
0,blocks.1.mlp.c_fc.weight.buf,4194304,2341,GRAMMAR,0.0024907919869292527
0,blocks.1.mlp.c_proj.weight.buf,4194304,4195129,RAW,0.0906290419807192
0,blocks.2.attn.c_q.weight.buf,1048576,889,GRAMMAR,0.0005865000130143017
0,blocks.2.attn.c_k.weight.buf,1048576,889,GRAMMAR,0.0011265420180279762
0,blocks.2.attn.c_v.weight.buf,1048576,889,GRAMMAR,0.0005911669868510216
0,blocks.2.attn.c_proj.weight.buf,1048576,1049401,RAW,0.025728083011927083
0,blocks.2.mlp.c_fc.weight.buf,4194304,2341,GRAMMAR,0.0026127909950446337
0,blocks.2.mlp.c_proj.weight.buf,4194304,4195129,RAW,0.09851929100113921
0,blocks.3.attn.c_q.weight.buf,1048576,889,GRAMMAR,0.0007049159903544933
0,blocks.3.attn.c_k.weight.buf,1048576,889,GRAMMAR,0.0006703329854644835
0,blocks.3.attn.c_v.weight.buf,1048576,889,GRAMMAR,0.0012067500210832804
0,blocks.3.attn.c_proj.weight.buf,1048576,1049401,RAW,0.023101917002350092
0,blocks.3.attn.ve_gate.weight.buf,512,1022,RAW,6.008302443660796e-05
0,blocks.3.mlp.c_fc.weight.buf,4194304,2341,GRAMMAR,0.00299987499602139
0,blocks.3.mlp.c_proj.weight.buf,4194304,4195129,RAW,0.11749379200045951
0,blocks.4.attn.c_q.weight.buf,1048576,889,GRAMMAR,0.0006289579905569553
0,blocks.4.attn.c_k.weight.buf,1048576,889,GRAMMAR,0.0013222499983385205
0,blocks.4.attn.c_v.weight.buf,1048576,889,GRAMMAR,0.0006673329917248338
0,blocks.4.attn.c_proj.weight.buf,1048576,1049401,RAW,0.022000124998157844
0,blocks.4.mlp.c_fc.weight.buf,4194304,2341,GRAMMAR,0.0027391670155338943
0,blocks.4.mlp.c_proj.weight.buf,4194304,4195129,RAW,0.12453845801064745
0,blocks.5.attn.c_q.weight.buf,1048576,889,GRAMMAR,0.0007786669884808362
0,blocks.5.attn.c_k.weight.buf,1048576,889,GRAMMAR,0.0006292499892879277
0,blocks.5.attn.c_v.weight.buf,1048576,889,GRAMMAR,0.0006274999759625643
0,blocks.5.attn.c_proj.weight.buf,1048576,1049401,RAW,0.021734792011557147
0,blocks.5.attn.ve_gate.weight.buf,512,1022,RAW,3.362499410286546e-05
