step,loss,seconds,tokens,mlx_active_peak_bytes,mlx_active_bytes,mlx_cache_bytes,rss_peak_bytes
0,10.396567821502686,1.298697207996156,8192,5255418748,511707224,1093708152,2190245888
1,10.360120296478271,1.4792158330092207,8192,5255418748,511707224,1132470652,2190245888
2,10.20525312423706,1.348867082997458,8192,5255418748,511707224,1132682484,2190245888
3,9.896499633789062,1.425488167005824,8192,5255418748,511707224,1135632732,2438660096
4,9.60727834701538,1.4200087919889484,8192,5255418748,511707224,1132585192,2538602496
5,9.401662826538086,1.415855625004042,8192,5255418748,511707224,1132863772,2780954624
6,9.12752628326416,1.5583355840062723,8192,5255418748,511707224,1135683804,3236151296
7,8.94751501083374,1.5514070420176722,8192,5255418748,511707224,1136681180,3236151296
8,8.70183801651001,1.5462285420217086,8192,5255418748,511707224,1132698804,3236151296
9,8.47214126586914,1.5711579589988105,8192,5255418748,511707224,1132666100,3236151296
10,8.451557636260986,1.4837538749852683,8192,5255418748,511707224,1132552476,3236151296
11,8.178814888000488,1.4817227500025183,8192,5255418748,511707224,1132666036,3236151296
12,8.08797550201416,1.5706939579977188,8192,5255418748,511707224,1132666100,3236151296
13,8.196790218353271,1.5623578340164386,8192,5255418748,511707224,1132601556,3236151296
14,7.970118522644043,1.5383087499940302,8192,5255418748,511707224,1107697908,3236151296
15,7.944040060043335,1.4459006660035811,8192,5255418748,511707224,1076977884,3236151296
16,7.875287294387817,1.4555381670070346,8192,5255418748,511707224,1073964764,3236151296
17,7.674039602279663,1.5206038329924922,8192,5255418748,511707224,1132666196,3236151296
18,7.607704162597656,1.4384560420003254,8192,5255418748,511707224,1132732636,3236151296
19,7.676764488220215,1.4206269159913063,8192,5255418748,511707224,1132470568,3236151296
20,7.544232130050659,1.4984014170186128,8192,5255418748,511707224,1132618044,3236151296
21,7.5481016635894775,1.4001473750104196,8192,5255418748,511707224,1077159684,3236151296
22,7.414425849914551,1.3912624579970725,8192,5255418748,511707224,1132601576,3236151296
23,7.335960626602173,1.4335357090167236,8192,5255418748,511707224,1132585256,3236151296
24,7.395889043807983,1.415220708004199,8192,5255418748,511707224,1132486888,3236151296
25,7.56850528717041,1.4209246660175268,8192,5255418748,511707224,1090611480,3236151296
26,7.43376350402832,1.3795413750049192,8192,5255418748,511707224,1135665392,3236151296
27,7.360164403915405,1.5048800840158947,8192,5255418748,511707224,1132552424,3236151296
28,7.2251996994018555,1.3308797919889912,8192,5255418752,511707224,1127393500,3236151296
29,7.203237056732178,1.5061236250039656,8192,5255418752,511707224,1132470652,3236151296
30,7.20770788192749,1.5379147499916144,8192,5255418752,511707224,1132765428,3236151296
31,7.259155750274658,1.4202719579916447,8192,5255418752,511707224,1132683672,3236151296
32,7.038666248321533,1.4632251669827383,8192,5255418752,511707224,1132863668,3236151296
33,7.114856958389282,1.4311620829976164,8192,5255418752,511707224,1135714564,3236151296
34,7.143239736557007,1.5865354999841657,8192,5255418752,511707224,1132649764,3236151296
35,7.136683225631714,1.4185832499933895,8192,5255418752,511707224,1135798492,3236151296
36,7.204120635986328,1.4043312080029864,8192,5255418752,511707224,1136009532,3236151296
37,7.139208555221558,1.4421599580091424,8192,5255418752,511707224,1132601576,3236151296
38,7.233077526092529,1.4396448750048876,8192,5255418752,511707224,1132585192,3236151296
39,7.024815320968628,1.3888164579984732,8192,5255418752,511707224,1132765404,3236151296
40,7.076170444488525,1.484489249996841,8192,5255418752,511707224,1132601564,3236151296
41,7.197700023651123,1.5159105000202544,8192,5255418752,511707224,1132666100,3236151296
42,6.998454332351685,1.4700104999938048,8192,5255418752,511707224,1135960284,3236151296
43,6.88095235824585,1.4163504159951117,8192,5255418752,511707224,1136730332,3236151296
44,6.970115900039673,1.429039083974203,8192,5255418752,511707224,1136681180,3236151296
45,7.099756479263306,1.3694568749924656,8192,5255418752,511707224,1074865372,3236151296
46,7.077825546264648,1.4865245420078281,8192,5255418752,511707224,1132470504,3236151296
47,7.235020160675049,1.51783204099047,8192,5255418752,511707224,1132634364,3236151296
48,6.9482502937316895,1.4082914169994183,8192,5255418752,511707224,1132486888,3236151296
49,6.9003989696502686,1.507938666996779,8192,5255418752,511707224,1111810236,3236151296
50,7.070952415466309,1.351693584001623,8192,5255418752,511707224,1132568764,3236151296
51,6.96437931060791,1.544035166996764,8192,5255418752,511707224,1132536092,3236151296
52,7.051938533782959,1.410421624983428,8192,5255418752,511707224,1132535092,3236151296
53,6.950548887252808,1.5622953749843873,8192,5255418752,511707224,1132716212,3236151296
54,6.900986671447754,1.5267691669869237,8192,5255418752,511707224,1132911892,3236151296
55,6.911078214645386,1.5408802919846494,8192,5255418752,511707224,1132715332,3236151296
56,6.8586719036102295,1.4548274169792421,8192,5255418752,511707224,1136730332,3236151296
57,6.833069324493408,1.535315040993737,8192,5255418752,511707224,1132813556,3236151296
58,6.806479215621948,1.5643243749800604,8192,5255418752,511707224,1132798236,3236151296
59,6.890352725982666,1.385429291985929,8192,5255418752,511707224,1073914588,3236151296
60,6.919028997421265,1.4270044589939062,8192,5255418752,511707224,1136664872,3236151296
61,6.801093101501465,1.4460152499959804,8192,5255418752,511707224,1132568808,3236151296
62,6.634287357330322,1.504201416973956,8192,5255418752,511707224,1132798196,3236151296
63,6.658902645111084,1.3796249169972725,8192,5255418752,511707224,1132977332,3236151296
64,6.836131572723389,1.4814589589950629,8192,5255418752,511707224,1132600660,3236151296
65,6.865685701370239,1.420732583006611,8192,5255418752,511707224,1132536040,3236151296
66,6.881296634674072,1.6285181250132155,8192,5255418752,511707224,1132616980,3236151296
67,6.851801156997681,1.4150800839997828,8192,5255418752,511707224,1132944564,3236151296
68,6.782081127166748,1.4991198750212789,8192,5255418752,511707224,1136730332,3236151296
69,6.864105224609375,1.4153908750158735,8192,5255418752,511707224,1132536008,3236151296
70,6.63557767868042,1.5990105000091717,8192,5255418752,511707224,1132797108,3236151296
71,6.787708520889282,1.4666415000101551,8192,5255418752,511707224,1132798132,3236151296
72,6.848249435424805,1.4887632500031032,8192,5255418752,511707224,1107615988,3236151296
73,6.644328594207764,1.4080422499973793,8192,5255418752,511707224,1134993612,3236151296
74,6.750132322311401,1.3896030830219388,8192,5255418752,511707224,1132617960,3236151296
