step,loss,seconds,tokens,mlx_active_peak_bytes,mlx_active_bytes,mlx_cache_bytes,rss_peak_bytes
0,10.396567821502686,5.310460166016128,8192,5255418748,511739992,1093757224,1682571264
1,10.360120296478271,7.720507833000738,8192,5255418748,511739992,1132634376,1682571264
2,10.20525312423706,8.585126791003859,8192,5255418748,511739992,1132536028,1682571264
3,9.896499633789062,9.419480709009804,8192,5255418748,511739992,1132650716,1682571264
4,9.60727834701538,10.383311208017403,8192,5255418748,511739992,1136009436,1682571264
5,9.401662826538086,10.764315917011118,8192,5255418748,511739992,1110761652,1682571264
6,9.12752628326416,11.493436749995453,8192,5255418748,511739992,1132536148,1682571264
7,8.947515487670898,11.520562042016536,8192,5255418748,511739992,1082222796,1682571264
8,8.70183801651001,12.046827042009681,8192,5255418748,511739992,1132682388,1789935616
9,8.47214126586914,12.380332958011422,8192,5255418748,511739992,1132600500,1789935616
10,8.451557636260986,12.691869875008706,8192,5255418748,511739992,1132780788,1897562112
11,8.178814888000488,12.999698750005336,8192,5255418748,511739992,1110761684,1897562112
12,8.08797550201416,13.346814958000323,8192,5255418748,511739992,1136795880,1897562112
13,8.196790218353271,13.603956250008196,8192,5255418748,511739992,1076978908,1897562112
14,7.970118522644043,13.946670292003546,8192,5255418748,511739992,1132470572,1985576960
15,7.944040060043335,14.047936749993823,8192,5255418748,511739992,1132780836,1985576960
16,7.875287294387817,14.544786042009946,8192,5255418748,511739992,1132977332,1985576960
17,7.674039125442505,14.724970667011803,8192,5255418748,511739992,1132486940,1985576960
18,7.607704162597656,14.880229208007222,8192,5255418748,511739992,1132797232,1985576960
19,7.676764488220215,15.101311415986856,8192,5255418748,511739992,1132616980,1985576960
20,7.54423189163208,15.383660207997309,8192,5255418748,511739992,1132749116,1985576960
21,7.5481016635894775,15.749250041990308,8192,5255418748,511739992,1132486888,1985576960
22,7.414425373077393,16.250380458979635,8192,5255418748,511739992,1132486996,1985576960
23,7.335960388183594,16.02065125000081,8192,5255418748,511739992,1108025692,1987624960
24,7.395888566970825,16.41344599999138,8192,5255418748,511739992,1132732660,2144616448
25,7.56850528717041,16.591481667011976,8192,5255418748,511739992,1132518608,2144616448
26,7.43376350402832,16.80687304199091,8192,5255418748,511739992,1132585148,2144616448
27,7.360164642333984,17.00798570900224,8192,5255418748,511739992,1132747956,2144616448
28,7.225200176239014,17.079403250012547,8192,5255418748,511739992,1077028572,2144616448
29,7.20323634147644,17.23931950001861,8192,5255418748,511739992,1132814516,2144616448
30,7.207704544067383,17.387863083014963,8192,5255418748,511739992,1110647152,2172469248
31,7.259158134460449,17.661414667003555,8192,5255418748,511739992,1132486896,2208137216
32,7.038662910461426,17.76347129099304,8192,5255418748,511739992,1132470504,2208137216
33,7.114856481552124,17.766537334013265,8192,5255418748,511739992,1132993716,2208137216
34,7.1432411670684814,17.921944208996138,8192,5255418748,511739992,1132486892,2208137216
35,7.136680603027344,17.944407584000146,8192,5255418748,511739992,1107599636,2208137216
36,7.204120397567749,18.717170249990886,8192,5255418748,511739992,1132536044,2208137216
37,7.139203786849976,18.717922916985117,8192,5255418748,511739992,1132749036,2208137216
38,7.233074903488159,18.375839749991428,8192,5255418748,511739992,1132502356,2208137216
39,7.024813175201416,18.485797166009434,8192,5255418748,511739992,1132912916,2208137216
40,7.0761682987213135,19.009730499994475,8192,5255418748,511739992,1132764340,2208137216
41,7.197702169418335,18.8855049580161,8192,5255418748,511739992,1099082008,2208137216
42,6.998453617095947,18.95670433298801,8192,5255418748,511739992,1132846324,2208137216
43,6.880952596664429,18.815231874992605,8192,5255418748,511739992,1132682484,2208137216
44,6.970117807388306,19.02182658298989,8192,5255418748,511739992,1132699976,2208137216
45,7.099754095077515,19.515208917000564,8192,5255418748,511739992,1132519724,2208137216
46,7.077824592590332,19.521744083001977,8192,5255418748,511739992,1132486952,2208137216
47,7.235018253326416,19.334692167001776,8192,5255418748,511739992,1132486972,2208137216
48,6.948251485824585,19.40343600002234,8192,5255418748,511739992,1132732700,2208137216
49,6.900400161743164,19.770289415988373,8192,5255418748,511739992,1077060828,2208137216
50,7.07094931602478,19.580655916011892,8192,5255418748,511739992,1135960380,2208956416
51,6.964377403259277,19.63043000001926,8192,5255418748,511739992,1132798132,2208956416
52,7.051938056945801,19.67921912498423,8192,5255418748,511739992,1099065548,2208956416
53,6.950547218322754,19.674424166994868,8192,5255418748,511739992,1076963128,2383691776
54,6.900984764099121,19.969056083005853,8192,5255418748,511739992,1132830964,2383691776
55,6.911080360412598,19.91370058301254,8192,5255418748,511739992,1077028152,2383691776
56,6.858670234680176,20.270949291996658,8192,5255418748,511739992,1132585192,2383691776
57,6.833070516586304,19.868301958980737,8192,5255418748,511739992,1132634332,2383691776
58,6.80647873878479,20.29799345799256,8192,5255418748,511739992,1132813588,2383691776
59,6.890350341796875,20.126795749994926,8192,5255418748,511739992,1132765364,2383691776
60,6.919026851654053,20.156226291990606,8192,5255418748,511739992,1132486888,2383691776
61,6.801086902618408,20.241556207998656,8192,5255418748,511739992,1132667208,2383691776
62,6.634287595748901,20.227225624985294,8192,5255418748,511739992,1077077304,2383691776
63,6.658901691436768,20.325949708989356,8192,5255418748,511739992,1133175196,2383691776
64,6.836131572723389,20.364359083003365,8192,5255418748,511739992,1132567812,2383691776
65,6.865687370300293,20.520324334007455,8192,5255418748,511739992,1110827188,2383691776
66,6.881294012069702,20.532556958991336,8192,5255418748,511739992,1132519656,2383691776
67,6.851804733276367,20.811656416015467,8192,5255418748,511739992,1132715188,2383691776
68,6.782076835632324,20.57604674997856,8192,5255418748,511739992,1132944564,2383691776
69,6.864101409912109,20.49497391600744,8192,5255418748,511739992,1073865980,2383691776
70,6.635577201843262,20.727678541996283,8192,5255418748,511739992,1132683596,2383691776
71,6.787712097167969,20.7660920000053,8192,5255418748,511739992,1132567748,2383691776
72,6.848249673843384,20.8416135830048,8192,5255418748,511739992,1132911796,2383691776
73,6.644330263137817,20.75961558398558,8192,5255418748,511739992,1132618108,2383691776
74,6.750129699707031,20.780766584008234,8192,5255418748,511739992,1132731732,2383691776
