step,path,raw_bytes,resident_bytes,mode,encode_seconds
0,wte.weight.m,67108864,9059805,GRAMMAR,0.14967891600099392
0,wte.weight.v,67108864,9057953,GRAMMAR,0.14368950002244674
0,blocks.0.attn.c_q.weight.buf,1048576,889,GRAMMAR,0.000698582996847108
0,blocks.0.attn.c_k.weight.buf,1048576,889,GRAMMAR,0.0005907079903408885
0,blocks.0.attn.c_v.weight.buf,1048576,889,GRAMMAR,0.0005790829891338944
0,blocks.0.attn.c_proj.weight.buf,1048576,1049401,RAW,0.027142750011989847
0,blocks.0.mlp.c_fc.weight.buf,4194304,2341,GRAMMAR,0.0027062919980380684
0,blocks.0.mlp.c_proj.weight.buf,4194304,4195129,RAW,0.0974197500036098
0,blocks.1.attn.c_q.weight.buf,1048576,889,GRAMMAR,0.0006125409854575992
0,blocks.1.attn.c_k.weight.buf,1048576,889,GRAMMAR,0.0006032079982105643
0,blocks.1.attn.c_v.weight.buf,1048576,889,GRAMMAR,0.0005793340096715838
0,blocks.1.attn.c_proj.weight.buf,1048576,1049401,RAW,0.020255207986338064
0,blocks.1.attn.ve_gate.weight.buf,512,1022,RAW,2.166701597161591e-05
0,blocks.1.mlp.c_fc.weight.buf,4194304,2341,GRAMMAR,0.00249854099820368
0,blocks.1.mlp.c_proj.weight.buf,4194304,4195129,RAW,0.11998183297691867
0,blocks.2.attn.c_q.weight.buf,1048576,889,GRAMMAR,0.0006370410264935344
0,blocks.2.attn.c_k.weight.buf,1048576,889,GRAMMAR,0.0006045839982107282
0,blocks.2.attn.c_v.weight.buf,1048576,889,GRAMMAR,0.0005948339821770787
0,blocks.2.attn.c_proj.weight.buf,1048576,1049401,RAW,0.02033425000263378
0,blocks.2.mlp.c_fc.weight.buf,4194304,2341,GRAMMAR,0.0026295419957023114
0,blocks.2.mlp.c_proj.weight.buf,4194304,4195129,RAW,0.10589287499897182
0,blocks.3.attn.c_q.weight.buf,1048576,889,GRAMMAR,0.000746333011193201
0,blocks.3.attn.c_k.weight.buf,1048576,889,GRAMMAR,0.0006022079905960709
0,blocks.3.attn.c_v.weight.buf,1048576,889,GRAMMAR,0.0006101659964770079
0,blocks.3.attn.c_proj.weight.buf,1048576,1049401,RAW,0.020141083019552752
0,blocks.3.attn.ve_gate.weight.buf,512,1022,RAW,2.112501533702016e-05
0,blocks.3.mlp.c_fc.weight.buf,4194304,2341,GRAMMAR,0.0024780830135568976
0,blocks.3.mlp.c_proj.weight.buf,4194304,4195129,RAW,0.10704720800276846
0,blocks.4.attn.c_q.weight.buf,1048576,889,GRAMMAR,0.0007497089973185211
0,blocks.4.attn.c_k.weight.buf,1048576,889,GRAMMAR,0.0006002919981256127
0,blocks.4.attn.c_v.weight.buf,1048576,889,GRAMMAR,0.000610624992987141
0,blocks.4.attn.c_proj.weight.buf,1048576,1049401,RAW,0.021113666996825486
0,blocks.4.mlp.c_fc.weight.buf,4194304,2341,GRAMMAR,0.0024638329923618585
0,blocks.4.mlp.c_proj.weight.buf,4194304,4195129,RAW,0.09325233299750835
0,blocks.5.attn.c_q.weight.buf,1048576,889,GRAMMAR,0.0005935830122325569
0,blocks.5.attn.c_k.weight.buf,1048576,889,GRAMMAR,0.000571165990550071
0,blocks.5.attn.c_v.weight.buf,1048576,889,GRAMMAR,0.0005781670042779297
0,blocks.5.attn.c_proj.weight.buf,1048576,1049401,RAW,0.021270041004754603
0,blocks.5.attn.ve_gate.weight.buf,512,1022,RAW,6.833299994468689e-05
0,blocks.5.mlp.c_fc.weight.buf,4194304,2341,GRAMMAR,0.002642582985572517
0,blocks.5.mlp.c_proj.weight.buf,4194304,4195129,RAW,0.10031224999693222
0,blocks.6.attn.c_q.weight.buf,1048576,889,GRAMMAR,0.0006785420118831098
0,blocks.6.attn.c_k.weight.buf,1048576,889,GRAMMAR,0.0006209169805515558
0,blocks.6.attn.c_v.weight.buf,1048576,889,GRAMMAR,0.0011415000190027058
0,blocks.6.attn.c_proj.weight.buf,1048576,1049401,RAW,0.02104362499085255
0,blocks.6.mlp.c_fc.weight.buf,4194304,2341,GRAMMAR,0.002687917003640905
0,blocks.6.mlp.c_proj.weight.buf,4194304,4195129,RAW,0.09437658300157636
0,blocks.7.attn.c_q.weight.buf,1048576,889,GRAMMAR,0.0005883330013602972
0,blocks.7.attn.c_k.weight.buf,1048576,889,GRAMMAR,0.0005559159908443689
0,blocks.7.attn.c_v.weight.buf,1048576,889,GRAMMAR,0.0005717079911846668
0,blocks.7.attn.c_proj.weight.buf,1048576,1049401,RAW,0.026108958991244435
0,blocks.7.attn.ve_gate.weight.buf,512,1022,RAW,3.1333998776972294e-05
0,blocks.7.mlp.c_fc.weight.buf,4194304,2341,GRAMMAR,0.0027055419923271984
0,blocks.7.mlp.c_proj.weight.buf,4194304,4195129,RAW,0.09227704198565334
0,lm_head.weight.m,67108864,67136149,RAW,1.4437131249869708
0,lm_head.weight.v,67108864,67136149,RAW,1.4114982500032056
0,resid_lambdas.m,32,32,RAW_VECTOR,1.2333010090515018e-05
0,resid_lambdas.v,32,32,RAW_VECTOR,1.9160215742886066e-06
0,x0_lambdas.m,32,32,RAW_VECTOR,8.749775588512421e-07
0,x0_lambdas.v,32,32,RAW_VECTOR,4.5899651013314724e-07
0,value_embeds.1.weight.m,67108864,31381,GRAMMAR,0.04298145798384212
0,value_embeds.1.weight.v,67108864,31381,GRAMMAR,0.03920274999109097
0,value_embeds.3.weight.m,67108864,31381,GRAMMAR,0.04215704099624418
0,value_embeds.3.weight.v,67108864,31381,GRAMMAR,0.03633141700993292
0,value_embeds.5.weight.m,67108864,31381,GRAMMAR,0.04063504099030979
0,value_embeds.5.weight.v,67108864,31381,GRAMMAR,0.04595866601448506
0,value_embeds.7.weight.m,67108864,31381,GRAMMAR,0.0435897920106072
0,value_embeds.7.weight.v,67108864,31381,GRAMMAR,0.04281941702356562
1,wte.weight.m,67108864,15223933,GRAMMAR,0.21686354099074379
1,wte.weight.v,67108864,15224645,GRAMMAR,0.23125254199840128
1,blocks.0.attn.c_q.weight.buf,1048576,1049401,RAW,0.020861833007074893
1,blocks.0.attn.c_k.weight.buf,1048576,1049401,RAW,0.028413416992407292
1,blocks.0.attn.c_v.weight.buf,1048576,1049401,RAW,0.0203312499797903
1,blocks.0.attn.c_proj.weight.buf,1048576,1049401,RAW,0.020758040976943448
1,blocks.0.mlp.c_fc.weight.buf,4194304,4196389,RAW,0.09570674999849871
1,blocks.0.mlp.c_proj.weight.buf,4194304,4195129,RAW,0.10019962498336099
1,blocks.1.attn.c_q.weight.buf,1048576,1049401,RAW,0.02022933299303986
1,blocks.1.attn.c_k.weight.buf,1048576,1049401,RAW,0.01985166600206867
1,blocks.1.attn.c_v.weight.buf,1048576,1049401,RAW,0.02848949999315664
1,blocks.1.attn.c_proj.weight.buf,1048576,1049401,RAW,0.02160212499438785
1,blocks.1.attn.ve_gate.weight.buf,512,1022,RAW,3.320799442008138e-05
1,blocks.1.mlp.c_fc.weight.buf,4194304,4196389,RAW,0.09545062499819323
1,blocks.1.mlp.c_proj.weight.buf,4194304,4195129,RAW,0.11834420799277723
1,blocks.2.attn.c_q.weight.buf,1048576,1049401,RAW,0.020810958987567574
1,blocks.2.attn.c_k.weight.buf,1048576,1049401,RAW,0.028100208000978455
1,blocks.2.attn.c_v.weight.buf,1048576,1049401,RAW,0.021190833009313792
1,blocks.2.attn.c_proj.weight.buf,1048576,1049401,RAW,0.020499874983215705
1,blocks.2.mlp.c_fc.weight.buf,4194304,4196389,RAW,0.0890280420135241
1,blocks.2.mlp.c_proj.weight.buf,4194304,4195129,RAW,0.10919237500638701
1,blocks.3.attn.c_q.weight.buf,1048576,1049401,RAW,0.02092741700471379
1,blocks.3.attn.c_k.weight.buf,1048576,1049401,RAW,0.02677912500803359
1,blocks.3.attn.c_v.weight.buf,1048576,1049401,RAW,0.021337374986615032
1,blocks.3.attn.c_proj.weight.buf,1048576,1049401,RAW,0.020321832998888567
1,blocks.3.attn.ve_gate.weight.buf,512,1022,RAW,1.6416015569120646e-05
1,blocks.3.mlp.c_fc.weight.buf,4194304,4196389,RAW,0.0902592500206083
1,blocks.3.mlp.c_proj.weight.buf,4194304,4195129,RAW,0.09903408298850991
1,blocks.4.attn.c_q.weight.buf,1048576,1049401,RAW,0.020418333006091416
1,blocks.4.attn.c_k.weight.buf,1048576,1049401,RAW,0.027679083024850115
1,blocks.4.attn.c_v.weight.buf,1048576,1049401,RAW,0.02115058299386874
1,blocks.4.attn.c_proj.weight.buf,1048576,1049401,RAW,0.02010016600252129
1,blocks.4.mlp.c_fc.weight.buf,4194304,4196389,RAW,0.08983220800291747
1,blocks.4.mlp.c_proj.weight.buf,4194304,4195129,RAW,0.11377604099106975
1,blocks.5.attn.c_q.weight.buf,1048576,1049401,RAW,0.02025200001662597
1,blocks.5.attn.c_k.weight.buf,1048576,1049401,RAW,0.02718762500444427
1,blocks.5.attn.c_v.weight.buf,1048576,1049401,RAW,0.020627417019568384
1,blocks.5.attn.c_proj.weight.buf,1048576,1049401,RAW,0.020373959006974474
1,blocks.5.attn.ve_gate.weight.buf,512,1022,RAW,1.329201040789485e-05
1,blocks.5.mlp.c_fc.weight.buf,4194304,4196389,RAW,0.08762949999072589
1,blocks.5.mlp.c_proj.weight.buf,4194304,4195129,RAW,0.1016716249869205
1,blocks.6.attn.c_q.weight.buf,1048576,1049401,RAW,0.020917749992804602
1,blocks.6.attn.c_k.weight.buf,1048576,1049401,RAW,0.019748374994378537
1,blocks.6.attn.c_v.weight.buf,1048576,1049401,RAW,0.028114958986407146
1,blocks.6.attn.c_proj.weight.buf,1048576,1049401,RAW,0.020552125002723187
1,blocks.6.mlp.c_fc.weight.buf,4194304,4196389,RAW,0.08734349999576807
1,blocks.6.mlp.c_proj.weight.buf,4194304,4195129,RAW,0.10432149999542162
1,blocks.7.attn.c_q.weight.buf,1048576,1049401,RAW,0.02142608299618587
1,blocks.7.attn.c_k.weight.buf,1048576,1049401,RAW,0.020372416998725384
1,blocks.7.attn.c_v.weight.buf,1048576,1049401,RAW,0.020176374993752688
1,blocks.7.attn.c_proj.weight.buf,1048576,1049401,RAW,0.02119974998640828
1,blocks.7.attn.ve_gate.weight.buf,512,1022,RAW,3.312499029561877e-05
1,blocks.7.mlp.c_fc.weight.buf,4194304,4196389,RAW,0.08854570801486261
1,blocks.7.mlp.c_proj.weight.buf,4194304,4195129,RAW,0.09307516599074006
1,lm_head.weight.m,67108864,67136149,RAW,1.4718011250079144
1,lm_head.weight.v,67108864,67136149,RAW,1.4567537500115577
1,resid_lambdas.m,32,32,RAW_VECTOR,4.417001036927104e-06
1,resid_lambdas.v,32,32,RAW_VECTOR,5.420006345957518e-07
1,x0_lambdas.m,32,32,RAW_VECTOR,1.0830117389559746e-06
1,x0_lambdas.v,32,32,RAW_VECTOR,1.3329845387488604e-06
1,value_embeds.1.weight.m,67108864,9198793,GRAMMAR,0.1430980000004638
1,value_embeds.1.weight.v,67108864,9195445,GRAMMAR,0.15190620798966847
1,value_embeds.3.weight.m,67108864,9196605,GRAMMAR,0.15023662499152124
1,value_embeds.3.weight.v,67108864,9195597,GRAMMAR,0.14448241700301878
1,value_embeds.5.weight.m,67108864,9195793,GRAMMAR,0.1437230840092525
1,value_embeds.5.weight.v,67108864,9195273,GRAMMAR,0.14578433299902827
1,value_embeds.7.weight.m,67108864,9200005,GRAMMAR,0.1408017500070855
1,value_embeds.7.weight.v,67108864,9196157,GRAMMAR,0.1405031250033062
2,wte.weight.m,67108864,20378021,GRAMMAR,0.2817705830093473
2,wte.weight.v,67108864,20376445,GRAMMAR,0.27364062500419095
2,blocks.0.attn.c_q.weight.buf,1048576,1049401,RAW,0.02857520800898783
2,blocks.0.attn.c_k.weight.buf,1048576,1049401,RAW,0.02005854100571014
2,blocks.0.attn.c_v.weight.buf,1048576,1049401,RAW,0.019763290998525918
2,blocks.0.attn.c_proj.weight.buf,1048576,1049401,RAW,0.02863758397870697
2,blocks.0.mlp.c_fc.weight.buf,4194304,4196389,RAW,0.08748833299614489
2,blocks.0.mlp.c_proj.weight.buf,4194304,4195129,RAW,0.09521091598435305
2,blocks.1.attn.c_q.weight.buf,1048576,1049401,RAW,0.019868125003995374
2,blocks.1.attn.c_k.weight.buf,1048576,1049401,RAW,0.028841584018664435
2,blocks.1.attn.c_v.weight.buf,1048576,1049401,RAW,0.020575250004185364
2,blocks.1.attn.c_proj.weight.buf,1048576,1049401,RAW,0.02031966601498425
2,blocks.1.attn.ve_gate.weight.buf,512,1022,RAW,2.533398219384253e-05
2,blocks.1.mlp.c_fc.weight.buf,4194304,4196389,RAW,0.1046554580098018
2,blocks.1.mlp.c_proj.weight.buf,4194304,4195129,RAW,0.10288687498541549
2,blocks.2.attn.c_q.weight.buf,1048576,1049401,RAW,0.021333249984309077
2,blocks.2.attn.c_k.weight.buf,1048576,1049401,RAW,0.03118004198768176
2,blocks.2.attn.c_v.weight.buf,1048576,1049401,RAW,0.02243783400626853
2,blocks.2.attn.c_proj.weight.buf,1048576,1049401,RAW,0.021990208013448864
2,blocks.2.mlp.c_fc.weight.buf,4194304,4196389,RAW,0.10232604198972695
2,blocks.2.mlp.c_proj.weight.buf,4194304,4195129,RAW,0.09562599999480881
2,blocks.3.attn.c_q.weight.buf,1048576,1049401,RAW,0.021589749987469986
2,blocks.3.attn.c_k.weight.buf,1048576,1049401,RAW,0.03296474998933263
2,blocks.3.attn.c_v.weight.buf,1048576,1049401,RAW,0.02263970801141113
2,blocks.3.attn.c_proj.weight.buf,1048576,1049401,RAW,0.021961499995086342
2,blocks.3.attn.ve_gate.weight.buf,512,1022,RAW,2.158299321308732e-05
2,blocks.3.mlp.c_fc.weight.buf,4194304,4196389,RAW,0.10477649999666028
2,blocks.3.mlp.c_proj.weight.buf,4194304,4195129,RAW,0.12658474998897873
2,blocks.4.attn.c_q.weight.buf,1048576,1049401,RAW,0.03213675000006333
