step,loss,seconds,tokens,mlx_active_peak_bytes,mlx_active_bytes,mlx_cache_bytes,rss_peak_bytes
0,10.399089813232422,0.036721125012263656,256,1203577344,427885688,881277964,418529280
1,10.393640518188477,0.03286470798775554,256,1231102944,427885688,933968908,418594816
2,10.393356323242188,0.032825915986904874,256,1231102944,427885688,933968908,418725888
3,10.392078399658203,0.0324145829945337,256,1231102944,427885688,933968908,418856960
4,10.384073257446289,0.031744000007165596,256,1231102944,427885688,933968908,418856960
5,10.377476692199707,0.033943749993341044,256,1231102944,427885688,933968908,418906112
6,10.370985984802246,0.03201745799742639,256,1231102944,427885688,933968908,418922496
7,10.34678840637207,0.032316708005964756,256,1231102944,427885688,933968908,418922496
8,10.350881576538086,0.032228916010353714,256,1231102944,427885688,933968908,418938880
9,10.330184936523438,0.03073312499327585,256,1231102944,427885688,933968908,418955264
