step,loss,seconds,tokens,mlx_active_peak_bytes,mlx_active_bytes,mlx_cache_bytes,rss_peak_bytes
0,10.399089813232422,3.582893124985276,256,641797800,146866744,585053880,789381120
1,10.393640518188477,3.9413656670076307,256,641797800,146866744,585053880,869318656
2,10.393356323242188,4.029359666979872,256,641797800,146866744,585053880,925990912
3,10.392078399658203,4.072538292006357,256,641797800,146866744,585053880,933232640
4,10.384073257446289,4.174533917015651,256,641797800,146866744,585053880,940343296
5,10.377476692199707,4.145657332992414,256,641797800,146866744,585053880,979189760
6,10.370985984802246,4.17438141599996,256,641797800,146866744,585053880,984219648
7,10.34678840637207,4.177043709001737,256,641797800,146866744,585053880,1021149184
8,10.350881576538086,4.2394564999849536,256,641797800,146866744,585053880,1056112640
9,10.330184936523438,4.2525354999816045,256,641797800,146866744,585053880,1058717696
