step,path,raw_bytes,resident_bytes,mode,encode_seconds
0,wte.weight.m,33554432,317217,GRAMMAR,0.029134707991033792
0,wte.weight.v,33554432,317221,GRAMMAR,0.023203250020742416
0,blocks.0.attn.c_q.weight.buf,262144,647,GRAMMAR,0.00018470900249667466
0,blocks.0.attn.c_k.weight.buf,262144,647,GRAMMAR,0.00016112500452436507
0,blocks.0.attn.c_v.weight.buf,262144,647,GRAMMAR,0.00016712499200366437
0,blocks.0.attn.c_proj.weight.buf,262144,262759,RAW,0.013448375015286729
0,blocks.0.mlp.c_fc.weight.buf,1048576,1373,GRAMMAR,0.0006998750031925738
0,blocks.0.mlp.c_proj.weight.buf,1048576,1049191,RAW,0.0532495410006959
0,blocks.1.attn.c_q.weight.buf,262144,647,GRAMMAR,0.00016829199739731848
0,blocks.1.attn.c_k.weight.buf,262144,647,GRAMMAR,0.0001608339953236282
0,blocks.1.attn.c_v.weight.buf,262144,647,GRAMMAR,0.0001557909999974072
0,blocks.1.attn.c_proj.weight.buf,262144,262759,RAW,0.014374874997884035
0,blocks.1.attn.ve_gate.weight.buf,256,766,RAW,1.8874998204410076e-05
0,blocks.1.mlp.c_fc.weight.buf,1048576,1373,GRAMMAR,0.0006345829751808196
0,blocks.1.mlp.c_proj.weight.buf,1048576,1049191,RAW,0.05342775001190603
0,blocks.2.attn.c_q.weight.buf,262144,647,GRAMMAR,0.0001727909839246422
0,blocks.2.attn.c_k.weight.buf,262144,647,GRAMMAR,0.0003831670037470758
0,blocks.2.attn.c_v.weight.buf,262144,647,GRAMMAR,0.00016212498303502798
0,blocks.2.attn.c_proj.weight.buf,262144,262759,RAW,0.01197933399816975
0,blocks.2.mlp.c_fc.weight.buf,1048576,1373,GRAMMAR,0.0006767080049030483
0,blocks.2.mlp.c_proj.weight.buf,1048576,1049191,RAW,0.056474207987776026
0,blocks.3.attn.c_q.weight.buf,262144,647,GRAMMAR,0.00020966699230484664
0,blocks.3.attn.c_k.weight.buf,262144,647,GRAMMAR,0.00015854102093726397
0,blocks.3.attn.c_v.weight.buf,262144,647,GRAMMAR,0.00016549997963011265
0,blocks.3.attn.c_proj.weight.buf,262144,262759,RAW,0.012309666984947398
0,blocks.3.attn.ve_gate.weight.buf,256,766,RAW,2.920802216976881e-05
0,blocks.3.mlp.c_fc.weight.buf,1048576,1373,GRAMMAR,0.0006699579826090485
0,blocks.3.mlp.c_proj.weight.buf,1048576,1049191,RAW,0.05357829199056141
0,lm_head.weight.m,33554432,33581717,RAW,1.5140620419988409
0,lm_head.weight.v,33554432,33581717,RAW,1.570990709005855
0,resid_lambdas.m,16,16,RAW_VECTOR,1.3083015801385045e-05
0,resid_lambdas.v,16,16,RAW_VECTOR,1.7920101527124643e-06
0,x0_lambdas.m,16,16,RAW_VECTOR,1.2499804142862558e-06
0,x0_lambdas.v,16,16,RAW_VECTOR,5.00003807246685e-07
0,value_embeds.1.weight.m,33554432,31381,GRAMMAR,0.020861708995653316
0,value_embeds.1.weight.v,33554432,31381,GRAMMAR,0.017220874986378476
0,value_embeds.3.weight.m,33554432,31381,GRAMMAR,0.02148004199261777
0,value_embeds.3.weight.v,33554432,31381,GRAMMAR,0.017110499989939854
1,wte.weight.m,33554432,556241,GRAMMAR,0.033175499993376434
1,wte.weight.v,33554432,556241,GRAMMAR,0.028605083003640175
1,blocks.0.attn.c_q.weight.buf,262144,262759,RAW,0.0117097920156084
1,blocks.0.attn.c_k.weight.buf,262144,262759,RAW,0.014204125007381663
1,blocks.0.attn.c_v.weight.buf,262144,262759,RAW,0.011697541980538517
