step,loss,seconds,tokens,mlx_active_peak_bytes,mlx_active_bytes,mlx_cache_bytes,rss_peak_bytes
0,10.399089813232422,0.23075141699519008,256,641797800,146866744,585053880,979419136
1,10.393640518188477,0.28849583299597725,256,641797800,146866744,585053880,1028980736
2,10.393356323242188,0.2709856250148732,256,641797800,146866744,585053880,1070825472
3,10.392078399658203,0.2737912090087775,256,641797800,146866744,585053880,1075888128
4,10.384073257446289,0.27427979101776145,256,641797800,146866744,585053880,1113276416
5,10.377476692199707,0.27836787499836646,256,641797800,146866744,585053880,1168228352
6,10.370985984802246,0.30229462499846704,256,641797800,146866744,585053880,1318879232
7,10.34678840637207,0.2897879170195665,256,641797800,146866744,585053880,1443135488
8,10.350881576538086,0.2791962909977883,256,641797800,146866744,585053880,1506705408
9,10.330184936523438,0.23952808399917558,256,641797800,146866744,585053880,1513046016
