step,loss,seconds,tokens,mlx_active_peak_bytes,mlx_active_bytes,mlx_cache_bytes,rss_peak_bytes
0,,0.003325375000713393,1,819515972,522717268,337542556,610926592
1,,0.0021015829988755286,1,819515972,522717272,348192152,610926592
2,,0.001936167012900114,1,819515972,522717272,348192152,610926592
3,,0.0019383749749977142,1,819515972,522717272,348192152,610926592
4,,0.0018862090073525906,1,819515972,522717272,348192152,610926592
5,,0.00189741697977297,1,819515972,522717272,348192152,610926592
6,,0.0018452499934937805,1,819515972,522717272,348192152,610926592
7,,0.001925667020259425,1,819515972,522717272,348192152,610926592
8,,0.0021898339909967035,1,819515972,522782804,352451996,610926592
9,,0.0019300829735584557,1,819515972,522782808,356777368,610942976
10,,0.0018202080100309104,1,819515972,522782808,356777368,610942976
11,,0.0018114160047844052,1,819515972,522782808,356777368,610942976
12,,0.0018214999872725457,1,819515972,522782808,356777368,610942976
13,,0.001958583015948534,1,819515972,522782808,356777368,610959360
14,,0.0018285830155946314,1,819515972,522782808,356777368,610959360
15,,0.002337415993679315,1,819515972,522782808,356777368,610959360
16,,0.0019625420100055635,1,819515972,522848344,361102744,610959360
17,,0.0018291249871253967,1,819515972,522848344,365493656,610959360
18,,0.0018219580233562738,1,819515972,522848344,365493656,610959360
19,,0.00180283299414441,1,819515972,522848344,365493656,610959360
20,,0.0018591659900266677,1,819515972,522848344,365493656,610959360
21,,0.0018016250105574727,1,819515972,522848344,365493656,610959360
22,,0.0017994999943766743,1,819515972,522848344,365493656,610959360
23,,0.002135167014785111,1,819515972,522848344,365493656,610959360
24,,0.0018194160074926913,1,819515972,522913880,369884568,610975744
25,,0.0018090420053340495,1,819515972,522913880,374341016,610975744
26,,0.003570291999494657,1,819515972,522913876,374341020,611008512
27,,0.0019576249760575593,1,819515972,522913880,374341016,611008512
28,,0.0018419590196572244,1,819515972,522913880,374341016,611008512
29,,0.001844915997935459,1,819515972,522913880,374341016,611008512
30,,0.0018576660077087581,1,819515972,522913876,374341020,611008512
31,,0.0018695839971769601,1,819515972,522913880,374341016,611008512
32,,0.001839792006649077,1,819515972,522979416,378797464,611024896
33,,0.0018451249925419688,1,819515972,522979416,383319448,611024896
34,,0.00183216598816216,1,819515972,522979416,383319448,611090432
35,,0.001853958994615823,1,819515972,522979416,383319448,611090432
36,,0.0018752909963950515,1,819515972,522979416,383319448,611090432
37,,0.001830082997912541,1,819515972,522979416,383319448,611090432
38,,0.0018064589821733534,1,819515972,522979416,383319448,611090432
39,,0.0022440419998019934,1,819515972,522979416,383319448,611090432
40,,0.0018313329783268273,1,819515972,523044952,387841432,611090432
41,,0.0018067080236505717,1,819515972,523044952,392428952,611090432
42,,0.0018052500090561807,1,819515972,523044952,392428952,611090432
43,,0.0018145000212825835,1,819515972,523044952,392428952,611090432
44,,0.00179779197787866,1,819515972,523044952,392428952,611090432
45,,0.0018154169956687838,1,819515972,523044952,392428952,611090432
46,,0.00185404100921005,1,819515972,523044948,392428956,611090432
47,,0.0018826670129783452,1,819515972,523044952,392428952,611090432
48,,0.0018169170070905238,1,819515972,523110488,397016472,611090432
49,,0.0018087909847963601,1,819515972,523110488,401669528,611090432
50,,0.0018270000000484288,1,819515972,523110488,401669528,611090432
51,,0.0018306660058442503,1,819515972,523110488,401669528,611090432
52,,0.0017976669769268483,1,819515972,523110488,401669528,611090432
53,,0.002139249991159886,1,819515972,523110484,401669532,611106816
54,,0.001811583002563566,1,819515972,523110488,401669528,611106816
55,,0.0017947500164154917,1,819515972,523110488,401669528,611106816
56,,0.0018204170046374202,1,819515972,523176024,406322584,611106816
57,,0.0018041669973172247,1,819515972,523176024,411041176,611123200
58,,0.0018070410005748272,1,819515972,523176024,411041176,611123200
59,,0.0017941659898497164,1,819515972,523176024,411041176,611123200
60,,0.0018000830023083836,1,819515972,523176024,411041176,611139584
61,,0.0021217500034254044,1,819515972,523176024,411043224,611155968
62,,0.0028700830007437617,1,819515972,523176020,411043228,611172352
63,,0.0019152500026393682,1,819515972,523176024,411043224,611172352
64,,0.0018117080035153776,1,819515972,523241560,415761816,611172352
65,,0.0018017920083366334,1,819515972,523241560,420545944,611172352
66,,0.001803249993827194,1,819515972,523241560,420545944,611172352
67,,0.0017927089938893914,1,819515972,523241560,420545944,611172352
68,,0.0021320829982869327,1,819515972,523241560,420545944,611172352
69,,0.0017988330218940973,1,819515972,523241560,420545944,611172352
70,,0.0019492919964250177,1,819515972,523241560,420545944,611205120
71,,0.0017945409927051514,1,819515972,523241560,420545944,611221504
72,,0.0017921669932547957,1,819515972,523307096,425330072,611221504
73,,0.0017862919776234776,1,819515972,523307096,430179736,611221504
74,,0.001779000012902543,1,819515972,523307096,430179736,611221504
