step,loss,seconds,tokens,mlx_active_peak_bytes,mlx_active_bytes,mlx_cache_bytes,rss_peak_bytes
0,,0.005281959020067006,1,690178356,518522964,229379484,637370368
1,,0.005514541000593454,1,690178356,518522968,240029080,637403136
2,,0.004023209010483697,1,690178356,518522968,240029080,637419520
3,,0.005142958019860089,1,690178356,518522968,240029080,637419520
4,,0.004446875012945384,1,690178356,518522968,240029080,637419520
5,,0.004442166013177484,1,690178356,518522968,240029080,637419520
6,,0.004673582996474579,1,690178356,518522968,240029080,637419520
7,,0.005593292007688433,1,690178356,518522964,240029084,637435904
8,,0.005373874999349937,1,690178356,518588504,244288920,637435904
9,,0.004663209023419768,1,690178356,518588500,246451612,637452288
10,,0.004865374998189509,1,690178356,518588500,246451612,637452288
11,,0.005394417006755248,1,690178356,518588504,246451608,637468672
12,,0.004443249985342845,1,690178356,518588504,246451608,637468672
13,,0.005549666995648295,1,690178356,518588504,246451608,637485056
14,,0.004997374984668568,1,690178356,518588500,246451612,637485056
15,,0.004960416001267731,1,690178356,518588504,246451608,637501440
16,,0.00540945801185444,1,690178356,518654036,250776988,637501440
17,,0.005052666994743049,1,690178356,518654036,252972444,637501440
18,,0.005083167023258284,1,690178356,518654040,252972440,637501440
19,,0.005148166994331405,1,690178356,518654040,252972440,637501440
20,,0.006997167016379535,1,690178356,518654036,252972444,637501440
21,,0.005511541006853804,1,690178356,518654036,252972444,637501440
22,,0.006838041997980326,1,690178356,518654040,252972440,637501440
23,,0.0054970839992165565,1,690178356,518654040,252972440,637501440
24,,0.006263207993470132,1,690178356,518719576,257363352,637517824
25,,0.0049472499813418835,1,690178356,518719576,259591576,637517824
26,,0.004901874985080212,1,690178356,518719576,259591576,637517824
27,,0.0059339170111343265,1,690178356,518719572,259591580,637517824
28,,0.004934290976962075,1,690178356,518719576,259591576,637517824
29,,0.004926791996695101,1,690178356,518719576,259591576,637517824
30,,0.0050126250134781,1,690178356,518719576,259591576,637517824
31,,0.00610087500535883,1,690178356,518719576,259591576,637517824
32,,0.004943084000842646,1,690178356,518785112,264048024,637517824
33,,0.008230959007050842,1,690178356,518785108,266309020,637517824
34,,0.005013291985960677,1,690178356,518785112,266309016,637517824
35,,0.006414959003450349,1,690178356,518785108,266309020,637517824
36,,0.005048624996561557,1,690178356,518785112,266309016,637517824
37,,0.004918292019283399,1,690178356,518785112,266309016,637517824
38,,0.005431666999356821,1,690178356,518785112,266309016,637517824
39,,0.004899540974292904,1,690178356,518785112,266309016,637517824
40,,0.004934625001624227,1,690178356,518850648,270831000,637517824
41,,0.004855125007452443,1,690178356,518850648,273124760,637517824
42,,0.005015083006583154,1,690178356,518850648,273124760,637517824
43,,0.004892209020908922,1,690178356,518850648,273124760,637517824
44,,0.006527374993311241,1,690178356,518850648,273124760,637517824
45,,0.0049649589927867055,1,690178356,518850648,273124760,637534208
46,,0.007371374987997115,1,690178356,518850644,273124764,637534208
47,,0.006128125009126961,1,690178356,518850648,273124760,637534208
48,,0.004960209014825523,1,690178356,518916184,277712280,637534208
49,,0.006517957983305678,1,690178356,518916180,280038812,637534208
50,,0.004939083009958267,1,690178356,518916184,280038808,637534208
51,,0.005026667000493035,1,690178356,518916184,280038808,637534208
52,,0.004860209010075778,1,690178356,518916184,280038808,637534208
53,,0.004857916006585583,1,690178356,518916184,280038808,637534208
54,,0.0066662080062087625,1,690178356,518916180,280038812,637534208
55,,0.005492958996910602,1,690178356,518916180,280038812,637534208
56,,0.005129124998347834,1,690178356,518981720,284691864,637534208
57,,0.006409916008124128,1,690178356,518981720,287051160,637550592
58,,0.005005875020287931,1,690178356,518981720,287051160,637550592
59,,0.007734125014394522,1,690178356,518981716,287051164,637550592
60,,0.006855082989204675,1,690178356,518981716,287051164,637550592
61,,0.005038167000748217,1,690178356,518981720,287051160,637550592
62,,0.007023540994850919,1,690178356,518981716,287051164,637550592
63,,0.006225957971764728,1,690178356,518981720,287051160,637550592
64,,0.005040332995122299,1,690178356,519047256,291769752,637550592
65,,0.004874792008195072,1,690178356,519047256,294161816,637550592
66,,0.004902457993011922,1,690178356,519047256,294161816,637550592
67,,0.004897375009022653,1,690178356,519047256,294161816,637566976
68,,0.004880916996626183,1,690178356,519047256,294161816,637566976
69,,0.004954417003318667,1,690178356,519047256,294161816,637566976
70,,0.004808792000403628,1,690178356,519047252,294161820,637566976
71,,0.004884374997345731,1,690178356,519047256,294161816,637566976
