step,path,raw_bytes,resident_bytes,mode,encode_seconds,payload_bytes,container_overhead_bytes,blocks,raw_blocks,rules,symbols,values,height,dictionary_bytes,header_bytes
0,blocks.7.mlp.c_proj.weight,4194304,1073,GRAMMAR,0.003408375021535903,320,621,4,0,0,512,0,0,0,256
0,blocks.4.mlp.c_fc.weight,4194304,4196565,RAW,0.0836265420075506,4195328,709,16,16,0,0,0,0,0,1024
0,blocks.5.mlp.c_fc.weight,4194304,4196557,RAW,0.08066691699787043,4195328,701,16,16,0,0,0,0,0,1024
0,blocks.6.mlp.c_fc.weight,4194304,4196549,RAW,0.07982445799279958,4195328,693,16,16,0,0,0,0,0,1024
0,blocks.2.mlp.c_fc.weight,4194304,4196541,RAW,0.08064537498285063,4195328,685,16,16,0,0,0,0,0,1024
0,blocks.7.mlp.c_fc.weight,4194304,4196533,RAW,0.08035191698581912,4195328,677,16,16,0,0,0,0,0,1024
0,blocks.3.mlp.c_proj.weight,4194304,1025,GRAMMAR,0.001826457999413833,320,573,4,0,0,512,0,0,0,256
0,blocks.1.mlp.c_proj.weight,4194304,1017,GRAMMAR,0.0018341249960940331,320,565,4,0,0,512,0,0,0,256
0,blocks.1.mlp.c_fc.weight,4194304,4196509,RAW,0.07916291599394754,4195328,653,16,16,0,0,0,0,0,1024
0,blocks.0.mlp.c_proj.weight,4194304,1001,GRAMMAR,0.0020388750126585364,320,549,4,0,0,512,0,0,0,256
0,blocks.5.mlp.c_proj.weight,4194304,993,GRAMMAR,0.0019427090010140091,320,541,4,0,0,512,0,0,0,256
0,blocks.0.mlp.c_fc.weight,4194304,4196485,RAW,0.08304349999525584,4195328,629,16,16,0,0,0,0,0,1024
0,blocks.6.mlp.c_proj.weight,4194304,977,GRAMMAR,0.001984957983950153,320,525,4,0,0,512,0,0,0,256
0,blocks.4.mlp.c_proj.weight,4194304,969,GRAMMAR,0.001874208013759926,320,517,4,0,0,512,0,0,0,256
0,blocks.2.mlp.c_proj.weight,4194304,961,GRAMMAR,0.0018567090155556798,320,509,4,0,0,512,0,0,0,256
0,blocks.3.mlp.c_fc.weight,4194304,4196453,RAW,0.07967487498535775,4195328,597,16,16,0,0,0,0,0,1024
