step,loss,seconds,tokens,mlx_active_peak_bytes,mlx_active_bytes,mlx_cache_bytes,rss_peak_bytes
0,10.397859573364258,0.6048681660031434,8192,5255418748,1417679064,1073756628,631275520
1,10.36204195022583,0.611782874999335,8192,6161390588,1417679064,1074805528,631439360
2,10.178818702697754,0.6082964169909246,8192,6161390588,1417679064,1073756744,631586816
3,9.871801853179932,0.5960752500104718,8192,6161390588,1417679064,1073756692,631816192
4,9.610841751098633,0.5898247089935467,8192,6161390588,1417679064,1073756648,631914496
5,9.407517433166504,0.6081686249963241,8192,6161390588,1417679064,1074803720,632143872
6,9.13723087310791,0.6110361669998383,8192,6161390588,1417679064,1073756736,632340480
7,8.957241535186768,0.5957018339977367,8192,6161390588,1417679064,1075853796,632438784
8,8.707964420318604,0.5978718330006814,8192,6161390588,1417679064,1073756620,632504320
9,8.487570762634277,0.5960615000076359,8192,6161390588,1417679064,1075853552,632569856
10,8.467446327209473,0.6109276250062976,8192,6161390588,1417679064,1073756076,1538703360
11,8.197033405303955,0.5899467499984894,8192,6161390588,1417679064,1073757248,1538768896
12,8.107563018798828,0.6143494169955375,8192,6161390588,1417679064,1075853420,1538850816
13,8.214458465576172,0.5976816250040429,8192,6161390588,1417679064,1076902532,1538916352
14,7.989076375961304,0.6056240839970997,8192,6161390588,1417679064,1073756660,1538981888
15,7.962489128112793,0.5919634579913691,8192,6161390588,1417679064,1075853940,1539047424
16,7.892613410949707,0.6152887909993296,8192,6161390588,1417679064,1074803612,1539112960
17,7.6848883628845215,0.6079536659963196,8192,6161390588,1417679064,1074804780,1539211264
18,7.62288498878479,0.6079052920104004,8192,6161390588,1417679064,1073756244,1539276800
19,7.677302837371826,0.6039886250073323,8192,6161390588,1417679064,1074805348,1539342336
20,7.557433366775513,0.6018720419961028,8192,6161390588,1417679064,1073756656,1539424256
21,7.551249027252197,0.6002960829937365,8192,6161390588,1417679064,1074804812,1539506176
22,7.422158479690552,0.6071067499869969,8192,6161390588,1417679064,1074804856,1539571712
23,7.359131574630737,0.6122723330045119,8192,6161390588,1417679064,1075852912,1539637248
24,7.418965816497803,0.6031529589963611,8192,6161390588,1417679064,1076902436,1539719168
25,7.608129501342773,0.6027395420096582,8192,6161390588,1417679064,1073756760,1539784704
26,7.445252418518066,0.5980752920004306,8192,6161390588,1417679064,1074805256,1539850240
27,7.3900980949401855,0.6139955420076149,8192,6161390588,1417679064,1073756784,1539915776
28,7.237202882766724,0.61063783300051,8192,6161390588,1417679064,1074805884,1539981312
29,7.234855651855469,0.6077343329961877,8192,6161390588,1417679064,1074803828,1540063232
30,7.209608554840088,0.5921740000048885,8192,6161390588,1417679064,1076902532,1540292608
31,7.271014928817749,0.5988174579979386,8192,6161390588,1417679064,1073755672,1540390912
