file,tensor,row_start,rows,cols,cells,positive_zero_cells,nonzero_bit_patterns,special_cells,dense_bytes,dictionary_header_lower_bound_bytes,rejected_by_dictionary_bound
optimizer.safetensors,adam.lm_head.weight.m,0,128,512,65536,0,65517,0,262144,262132,True
optimizer.safetensors,adam.lm_head.weight.m,128,128,512,65536,0,65475,0,262144,261964,True
optimizer.safetensors,adam.lm_head.weight.m,256,128,512,65536,0,65519,0,262144,262140,True
optimizer.safetensors,adam.lm_head.weight.m,384,128,512,65536,0,65507,0,262144,262092,True
optimizer.safetensors,adam.lm_head.weight.m,512,128,512,65536,0,65519,0,262144,262140,True
optimizer.safetensors,adam.lm_head.weight.m,640,128,512,65536,0,65506,0,262144,262088,True
optimizer.safetensors,adam.lm_head.weight.m,768,128,512,65536,0,65509,0,262144,262100,True
optimizer.safetensors,adam.lm_head.weight.m,896,128,512,65536,0,65517,0,262144,262132,True
optimizer.safetensors,adam.lm_head.weight.m,1024,128,512,65536,0,65521,0,262144,262148,True
optimizer.safetensors,adam.lm_head.weight.m,1152,128,512,65536,0,65515,0,262144,262124,True
optimizer.safetensors,adam.lm_head.weight.m,1280,128,512,65536,0,65497,0,262144,262052,True
optimizer.safetensors,adam.lm_head.weight.m,1408,128,512,65536,0,65500,0,262144,262064,True
optimizer.safetensors,adam.lm_head.weight.m,1536,128,512,65536,0,65493,0,262144,262036,True
optimizer.safetensors,adam.lm_head.weight.m,1664,128,512,65536,0,65513,0,262144,262116,True
optimizer.safetensors,adam.lm_head.weight.m,1792,128,512,65536,0,65515,0,262144,262124,True
optimizer.safetensors,adam.lm_head.weight.m,1920,128,512,65536,0,65509,0,262144,262100,True
optimizer.safetensors,adam.lm_head.weight.m,2048,128,512,65536,0,65511,0,262144,262108,True
optimizer.safetensors,adam.lm_head.weight.m,2176,128,512,65536,0,65506,0,262144,262088,True
optimizer.safetensors,adam.lm_head.weight.m,2304,128,512,65536,0,65503,0,262144,262076,True
optimizer.safetensors,adam.lm_head.weight.m,2432,128,512,65536,0,65472,0,262144,261952,True
optimizer.safetensors,adam.lm_head.weight.m,2560,128,512,65536,0,65503,0,262144,262076,True
optimizer.safetensors,adam.lm_head.weight.m,2688,128,512,65536,0,65507,0,262144,262092,True
optimizer.safetensors,adam.lm_head.weight.m,2816,128,512,65536,0,65502,0,262144,262072,True
optimizer.safetensors,adam.lm_head.weight.m,2944,128,512,65536,0,65498,0,262144,262056,True
optimizer.safetensors,adam.lm_head.weight.m,3072,128,512,65536,0,65507,0,262144,262092,True
optimizer.safetensors,adam.lm_head.weight.m,3200,128,512,65536,0,65505,0,262144,262084,True
optimizer.safetensors,adam.lm_head.weight.m,3328,128,512,65536,0,65499,0,262144,262060,True
optimizer.safetensors,adam.lm_head.weight.m,3456,128,512,65536,0,65493,0,262144,262036,True
optimizer.safetensors,adam.lm_head.weight.m,3584,128,512,65536,0,65498,0,262144,262056,True
optimizer.safetensors,adam.lm_head.weight.m,3712,128,512,65536,0,65501,0,262144,262068,True
optimizer.safetensors,adam.lm_head.weight.m,3840,128,512,65536,0,65494,0,262144,262040,True
optimizer.safetensors,adam.lm_head.weight.m,3968,128,512,65536,0,65508,0,262144,262096,True
optimizer.safetensors,adam.lm_head.weight.m,4096,128,512,65536,0,65499,0,262144,262060,True
optimizer.safetensors,adam.lm_head.weight.m,4224,128,512,65536,0,65496,0,262144,262048,True
optimizer.safetensors,adam.lm_head.weight.m,4352,128,512,65536,0,65494,0,262144,262040,True
optimizer.safetensors,adam.lm_head.weight.m,4480,128,512,65536,0,65502,0,262144,262072,True
optimizer.safetensors,adam.lm_head.weight.m,4608,128,512,65536,0,65504,0,262144,262080,True
optimizer.safetensors,adam.lm_head.weight.m,4736,128,512,65536,0,65503,0,262144,262076,True
optimizer.safetensors,adam.lm_head.weight.m,4864,128,512,65536,0,65502,0,262144,262072,True
optimizer.safetensors,adam.lm_head.weight.m,4992,128,512,65536,0,65503,0,262144,262076,True
optimizer.safetensors,adam.lm_head.weight.m,5120,128,512,65536,0,65495,0,262144,262044,True
optimizer.safetensors,adam.lm_head.weight.m,5248,128,512,65536,0,65506,0,262144,262088,True
optimizer.safetensors,adam.lm_head.weight.m,5376,128,512,65536,0,65504,0,262144,262080,True
optimizer.safetensors,adam.lm_head.weight.m,5504,128,512,65536,0,65496,0,262144,262048,True
optimizer.safetensors,adam.lm_head.weight.m,5632,128,512,65536,0,65510,0,262144,262104,True
optimizer.safetensors,adam.lm_head.weight.m,5760,128,512,65536,0,65507,0,262144,262092,True
optimizer.safetensors,adam.lm_head.weight.m,5888,128,512,65536,0,65502,0,262144,262072,True
optimizer.safetensors,adam.lm_head.weight.m,6016,128,512,65536,0,65502,0,262144,262072,True
optimizer.safetensors,adam.lm_head.weight.m,6144,128,512,65536,0,65493,0,262144,262036,True
optimizer.safetensors,adam.lm_head.weight.m,6272,128,512,65536,0,65504,0,262144,262080,True
optimizer.safetensors,adam.lm_head.weight.m,6400,128,512,65536,0,65489,0,262144,262020,True
optimizer.safetensors,adam.lm_head.weight.m,6528,128,512,65536,0,65500,0,262144,262064,True
optimizer.safetensors,adam.lm_head.weight.m,6656,128,512,65536,0,65500,0,262144,262064,True
optimizer.safetensors,adam.lm_head.weight.m,6784,128,512,65536,0,65508,0,262144,262096,True
optimizer.safetensors,adam.lm_head.weight.m,6912,128,512,65536,0,65497,0,262144,262052,True
optimizer.safetensors,adam.lm_head.weight.m,7040,128,512,65536,0,65493,0,262144,262036,True
