step,phase,tensor,row_start,rows,cols,dense_bytes,positive_zero_cells,cells,special_cells,dictionary_lower_bytes,rejected
0,microbatch_0,wte.weight,0,128,512,262144,49664,65536,0,63544,False
0,microbatch_0,wte.weight,128,128,512,262144,65536,65536,0,64,False
0,microbatch_0,wte.weight,256,128,512,262144,43008,65536,0,90168,False
0,microbatch_0,wte.weight,384,128,512,262144,46080,65536,0,77884,False
0,microbatch_0,wte.weight,512,128,512,262144,47616,65536,0,71740,False
0,microbatch_0,wte.weight,640,128,512,262144,45056,65536,0,81980,False
0,microbatch_0,wte.weight,768,128,512,262144,47616,65536,0,71740,False
0,microbatch_0,wte.weight,896,128,512,262144,49664,65536,0,63544,False
0,microbatch_0,wte.weight,1024,128,512,262144,51712,65536,0,55360,False
0,microbatch_0,wte.weight,1152,128,512,262144,54272,65536,0,45120,False
0,microbatch_0,wte.weight,1280,128,512,262144,53248,65536,0,49216,False
0,microbatch_0,wte.weight,1408,128,512,262144,51712,65536,0,55356,False
0,microbatch_0,wte.weight,1536,128,512,262144,54784,65536,0,43068,False
0,microbatch_0,wte.weight,1664,128,512,262144,51712,65536,0,55356,False
0,microbatch_0,wte.weight,1792,128,512,262144,52224,65536,0,53308,False
0,microbatch_0,wte.weight,1920,128,512,262144,54784,65536,0,43068,False
0,microbatch_0,wte.weight,2048,128,512,262144,54272,65536,0,45116,False
0,microbatch_0,wte.weight,2176,128,512,262144,55296,65536,0,41024,False
0,microbatch_0,wte.weight,2304,128,512,262144,51712,65536,0,55352,False
0,microbatch_0,wte.weight,2432,128,512,262144,50688,65536,0,59456,False
0,microbatch_0,wte.weight,2560,128,512,262144,55808,65536,0,38972,False
0,microbatch_0,wte.weight,2688,128,512,262144,56832,65536,0,34876,False
0,microbatch_0,wte.weight,2816,128,512,262144,60416,65536,0,20544,False
0,microbatch_0,wte.weight,2944,128,512,262144,57856,65536,0,30784,False
0,microbatch_0,wte.weight,3072,128,512,262144,59392,65536,0,24640,False
0,microbatch_0,wte.weight,3200,128,512,262144,56832,65536,0,34880,False
0,microbatch_0,wte.weight,3328,128,512,262144,61952,65536,0,14400,False
0,microbatch_0,wte.weight,3456,128,512,262144,58880,65536,0,26684,False
0,microbatch_0,wte.weight,3584,128,512,262144,59904,65536,0,22592,False
0,microbatch_0,wte.weight,3712,128,512,262144,58880,65536,0,26688,False
0,microbatch_0,wte.weight,3840,128,512,262144,60928,65536,0,18496,False
0,microbatch_0,wte.weight,3968,128,512,262144,58368,65536,0,28728,False
