trial	arm	decision	steps	quality_split	calibration_nll	reserved_nll	mean_step_seconds	time_ratio_vs_native	mlx_peak_bytes	rss_peak_bytes	payload_ratio	source_sha256	candidate_sha256	hypothesis
reference	native	REFERENCE_ONLY	1000	calibration	5.299304662613165		1.0073484182452084		7293037592	2219900928		b70ecb36774fbf8c8b2640dbc8f8f39c364e1db7899b3bf8372afea668a74a4e	09b50e6717b2fc16128df52ddf302b2b9490d6346f5d0cea229f36ffecf6d050	Establish native trajectory before experimental interventions
native	native	CONTROL	100	calibration	6.220080628595527		0.9586461854405934	1.0	7293037592	3126558720		b70ecb36774fbf8c8b2640dbc8f8f39c364e1db7899b3bf8372afea668a74a4e	09b50e6717b2fc16128df52ddf302b2b9490d6346f5d0cea229f36ffecf6d050	native
checkpoint-native	checkpoint_native	CONTROL	100	calibration	6.220080603554105		1.0358712650384405	1.0805563937672735	5562264736	3120775168		b70ecb36774fbf8c8b2640dbc8f8f39c364e1db7899b3bf8372afea668a74a4e	09b50e6717b2fc16128df52ddf302b2b9490d6346f5d0cea229f36ffecf6d050	checkpoint-native
tape-dense	tape_dense	CONTROL	100	calibration	6.220080619444445		0.9707468174898531	1.0126226257748037	5570193744	3120758784	1.0	b70ecb36774fbf8c8b2640dbc8f8f39c364e1db7899b3bf8372afea668a74a4e	09b50e6717b2fc16128df52ddf302b2b9490d6346f5d0cea229f36ffecf6d050	tape-dense
tape-recompute	tape_recompute	CONTROL	100	calibration	6.2200806187347455		1.0247810871512046	1.0689878108472477	5301758288	3120693248	0.0	b70ecb36774fbf8c8b2640dbc8f8f39c364e1db7899b3bf8372afea668a74a4e	09b50e6717b2fc16128df52ddf302b2b9490d6346f5d0cea229f36ffecf6d050	tape-recompute
bitmap-cpu	tape_bitmap	NEGATIVE_SCREENING_TIME	100	calibration	6.220080620644587		2.179312721667811	2.2733233123607537	5301758288	3366141952	0.4522523793578148	b70ecb36774fbf8c8b2640dbc8f8f39c364e1db7899b3bf8372afea668a74a4e	09b50e6717b2fc16128df52ddf302b2b9490d6346f5d0cea229f36ffecf6d050	bitmap-cpu
bitmap-metal-r128	bitmap_gpu	INCONCLUSIVE_PILOT_NOT_SHORTLISTED	100	calibration	6.220080609006672		0.9802078266907484	1.022491761379351	5431863632	3120316416	0.4522346326708794	b70ecb36774fbf8c8b2640dbc8f8f39c364e1db7899b3bf8372afea668a74a4e	09b50e6717b2fc16128df52ddf302b2b9490d6346f5d0cea229f36ffecf6d050	bitmap-metal-r128
bitmap-metal-r256	bitmap_gpu	INCONCLUSIVE_PILOT_NOT_SHORTLISTED	100	calibration	6.220080633973087		1.0504147266512154	1.0957272272130778	5430815056	3122561024	0.44832836374640467	b70ecb36774fbf8c8b2640dbc8f8f39c364e1db7899b3bf8372afea668a74a4e	09b50e6717b2fc16128df52ddf302b2b9490d6346f5d0cea229f36ffecf6d050	bitmap-metal-r256
bitmap-metal-r512	bitmap_gpu	INCONCLUSIVE_PILOT_NOT_SHORTLISTED	100	calibration	6.220080619017471		1.1112930554916967	1.1592317086005477	5430290768	3121872896	0.44637523874640467	b70ecb36774fbf8c8b2640dbc8f8f39c364e1db7899b3bf8372afea668a74a4e	09b50e6717b2fc16128df52ddf302b2b9490d6346f5d0cea229f36ffecf6d050	bitmap-metal-r512
bitmap-metal-scan	bitmap_gpu	INCONCLUSIVE_PILOT_NOT_SHORTLISTED	100	calibration	6.220080639223707		1.0563656612220802	1.1019348715569914	5429766480	3122659328	0.44442213088274	b70ecb36774fbf8c8b2640dbc8f8f39c364e1db7899b3bf8372afea668a74a4e	09b50e6717b2fc16128df52ddf302b2b9490d6346f5d0cea229f36ffecf6d050	bitmap-metal-scan
bitmap-metal-simd	bitmap_gpu	INCONCLUSIVE_PILOT_NOT_SHORTLISTED	100	calibration	6.220080592822066		0.9223601057712222	0.9621486214408769	5430815056	3120971776	0.44832836851477625	3d4b5c214d88ae597d8ee34f7894eba6bbfb547595d74149f32e497c355b33dd	b64da0eb6fcf88c4f2adc14587785e456db2e7cf3740a56f3707f2053927c63a	Coalesced SIMD mask construction should reduce packing overhead while preserving exact bitmap representation, rank256, and the full training workload
