file,tensor,row_start,rows,cols,cells,positive_zero_cells,nonzero_bit_patterns,special_cells,dense_bytes,dictionary_header_lower_bound_bytes,rejected_by_dictionary_bound
model.safetensors,blocks.0.attn.c_k.weight,0,32,512,16384,0,16384,0,65536,65600,True
model.safetensors,blocks.0.attn.c_k.weight,32,32,512,16384,0,16384,0,65536,65600,True
model.safetensors,blocks.0.attn.c_k.weight,64,32,512,16384,0,16379,0,65536,65580,True
model.safetensors,blocks.0.attn.c_k.weight,96,32,512,16384,0,16382,0,65536,65592,True
model.safetensors,blocks.0.attn.c_k.weight,128,32,512,16384,0,16380,0,65536,65584,True
model.safetensors,blocks.0.attn.c_k.weight,160,32,512,16384,0,16383,0,65536,65596,True
model.safetensors,blocks.0.attn.c_k.weight,192,32,512,16384,0,16381,0,65536,65588,True
model.safetensors,blocks.0.attn.c_k.weight,224,32,512,16384,0,16382,0,65536,65592,True
model.safetensors,blocks.0.attn.c_k.weight,256,32,512,16384,0,16382,0,65536,65592,True
model.safetensors,blocks.0.attn.c_k.weight,288,32,512,16384,0,16380,0,65536,65584,True
model.safetensors,blocks.0.attn.c_k.weight,320,32,512,16384,0,16382,0,65536,65592,True
model.safetensors,blocks.0.attn.c_k.weight,352,32,512,16384,0,16381,0,65536,65588,True
model.safetensors,blocks.0.attn.c_k.weight,384,32,512,16384,0,16384,0,65536,65600,True
model.safetensors,blocks.0.attn.c_k.weight,416,32,512,16384,0,16384,0,65536,65600,True
model.safetensors,blocks.0.attn.c_k.weight,448,32,512,16384,0,16381,0,65536,65588,True
model.safetensors,blocks.0.attn.c_k.weight,480,32,512,16384,0,16381,0,65536,65588,True
model.safetensors,blocks.0.attn.c_proj.weight,0,32,512,16384,0,16384,0,65536,65600,True
model.safetensors,blocks.0.attn.c_proj.weight,32,32,512,16384,0,16384,0,65536,65600,True
model.safetensors,blocks.0.attn.c_proj.weight,64,32,512,16384,0,16384,0,65536,65600,True
model.safetensors,blocks.0.attn.c_proj.weight,96,32,512,16384,0,16384,0,65536,65600,True
model.safetensors,blocks.0.attn.c_proj.weight,128,32,512,16384,0,16383,0,65536,65596,True
model.safetensors,blocks.0.attn.c_proj.weight,160,32,512,16384,0,16384,0,65536,65600,True
model.safetensors,blocks.0.attn.c_proj.weight,192,32,512,16384,0,16382,0,65536,65592,True
model.safetensors,blocks.0.attn.c_proj.weight,224,32,512,16384,0,16382,0,65536,65592,True
model.safetensors,blocks.0.attn.c_proj.weight,256,32,512,16384,0,16383,0,65536,65596,True
model.safetensors,blocks.0.attn.c_proj.weight,288,32,512,16384,0,16380,0,65536,65584,True
model.safetensors,blocks.0.attn.c_proj.weight,320,32,512,16384,0,16384,0,65536,65600,True
model.safetensors,blocks.0.attn.c_proj.weight,352,32,512,16384,0,16383,0,65536,65596,True
model.safetensors,blocks.0.attn.c_proj.weight,384,32,512,16384,0,16382,0,65536,65592,True
model.safetensors,blocks.0.attn.c_proj.weight,416,32,512,16384,0,16382,0,65536,65592,True
model.safetensors,blocks.0.attn.c_proj.weight,448,32,512,16384,0,16383,0,65536,65596,True
model.safetensors,blocks.0.attn.c_proj.weight,480,32,512,16384,0,16381,0,65536,65588,True
model.safetensors,blocks.0.attn.c_q.weight,0,32,512,16384,0,16384,0,65536,65600,True
model.safetensors,blocks.0.attn.c_q.weight,32,32,512,16384,0,16382,0,65536,65592,True
model.safetensors,blocks.0.attn.c_q.weight,64,32,512,16384,0,16380,0,65536,65584,True
model.safetensors,blocks.0.attn.c_q.weight,96,32,512,16384,0,16381,0,65536,65588,True
model.safetensors,blocks.0.attn.c_q.weight,128,32,512,16384,0,16383,0,65536,65596,True
model.safetensors,blocks.0.attn.c_q.weight,160,32,512,16384,0,16382,0,65536,65592,True
model.safetensors,blocks.0.attn.c_q.weight,192,32,512,16384,0,16379,0,65536,65580,True
model.safetensors,blocks.0.attn.c_q.weight,224,32,512,16384,0,16383,0,65536,65596,True
model.safetensors,blocks.0.attn.c_q.weight,256,32,512,16384,0,16383,0,65536,65596,True
model.safetensors,blocks.0.attn.c_q.weight,288,32,512,16384,0,16383,0,65536,65596,True
model.safetensors,blocks.0.attn.c_q.weight,320,32,512,16384,0,16384,0,65536,65600,True
model.safetensors,blocks.0.attn.c_q.weight,352,32,512,16384,0,16382,0,65536,65592,True
model.safetensors,blocks.0.attn.c_q.weight,384,32,512,16384,0,16381,0,65536,65588,True
model.safetensors,blocks.0.attn.c_q.weight,416,32,512,16384,0,16384,0,65536,65600,True
model.safetensors,blocks.0.attn.c_q.weight,448,32,512,16384,0,16380,0,65536,65584,True
model.safetensors,blocks.0.attn.c_q.weight,480,32,512,16384,0,16383,0,65536,65596,True
model.safetensors,blocks.0.attn.c_v.weight,0,32,512,16384,0,16382,0,65536,65592,True
model.safetensors,blocks.0.attn.c_v.weight,32,32,512,16384,0,16380,0,65536,65584,True
model.safetensors,blocks.0.attn.c_v.weight,64,32,512,16384,0,16382,0,65536,65592,True
model.safetensors,blocks.0.attn.c_v.weight,96,32,512,16384,0,16384,0,65536,65600,True
