Scaling AdamW LRs by (n_embd/768)^(-0.5) = 1.224745
Muon params: 52, AdamW groups: {'embed': 1, 've': 4, 'lm_head': 1, 'resid': 1, 'x0': 1}
Scaling AdamW LRs by (n_embd/768)^(-0.5) = 1.224745
Muon params: 52, AdamW groups: {'embed': 1, 've': 4, 'lm_head': 1, 'resid': 1, 'x0': 1}
reference step 10 loss 8.539418 seconds 0.8584
reference step 20 loss 7.61006 seconds 0.7948
reference step 30 loss 7.210281 seconds 0.8139
reference step 40 loss 7.253478 seconds 0.9134
reference step 50 loss 6.854104 seconds 0.9173
reference step 60 loss 6.92247 seconds 0.8922
reference step 70 loss 6.772748 seconds 0.9406
reference step 80 loss 6.831952 seconds 1.1228
reference step 90 loss 6.51521 seconds 1.0452
reference step 100 loss 6.847959 seconds 1.2622
reference step 110 loss 6.461155 seconds 1.3746
reference step 120 loss 6.526832 seconds 1.3546
reference step 130 loss 6.337023 seconds 1.3733
reference step 140 loss 6.401879 seconds 1.3752
reference step 150 loss 6.456382 seconds 1.2634
reference step 160 loss 6.358882 seconds 1.3444
reference step 170 loss 6.247618 seconds 1.2547
reference step 180 loss 6.405656 seconds 1.2036
reference step 190 loss 6.215963 seconds 1.1384
reference step 200 loss 6.330069 seconds 1.1951
reference step 210 loss 6.209006 seconds 1.0626
reference step 220 loss 6.08237 seconds 1.122
reference step 230 loss 5.953145 seconds 1.0771
reference step 240 loss 6.154132 seconds 1.1404
reference step 250 loss 6.114901 seconds 1.0743
reference step 260 loss 6.067187 seconds 1.0661
reference step 270 loss 6.211571 seconds 1.0365
reference step 280 loss 5.826201 seconds 1.0362
reference step 290 loss 6.214365 seconds 1.1015
reference step 300 loss 6.075263 seconds 1.0633
reference step 310 loss 6.073585 seconds 1.0413
reference step 320 loss 5.943454 seconds 1.0446
reference step 330 loss 6.065649 seconds 1.0458
reference step 340 loss 5.970258 seconds 1.0415
reference step 350 loss 5.938245 seconds 0.9893
reference step 360 loss 6.027192 seconds 1.0509
reference step 370 loss 5.811226 seconds 1.0237
reference step 380 loss 6.027424 seconds 1.0259
reference step 390 loss 6.022869 seconds 1.0002
reference step 400 loss 5.961346 seconds 0.9967
reference step 410 loss 5.751016 seconds 1.0621
reference step 420 loss 6.101594 seconds 0.9772
reference step 430 loss 5.997298 seconds 0.9832
reference step 440 loss 5.728918 seconds 1.0254
reference step 450 loss 5.780282 seconds 0.9651
reference step 460 loss 5.814374 seconds 1.037
reference step 470 loss 5.947479 seconds 0.9944
reference step 480 loss 5.813079 seconds 0.9857
reference step 490 loss 5.771417 seconds 0.9906
reference step 500 loss 5.817666 seconds 0.9755
reference step 510 loss 5.768865 seconds 0.9965
reference step 520 loss 5.698988 seconds 0.9711
reference step 530 loss 5.743587 seconds 0.9527
reference step 540 loss 5.72048 seconds 1.0028
reference step 550 loss 5.662755 seconds 0.9588
reference step 560 loss 5.847184 seconds 0.9233
reference step 570 loss 5.445787 seconds 0.9984
reference step 580 loss 5.571851 seconds 0.9827
reference step 590 loss 5.664656 seconds 0.9547
reference step 600 loss 5.722132 seconds 0.9513
reference step 610 loss 5.774234 seconds 0.9537
reference step 620 loss 5.486663 seconds 0.8975
reference step 630 loss 5.297818 seconds 0.9843
reference step 640 loss 5.405045 seconds 0.9776
reference step 650 loss 5.773486 seconds 0.9799
reference step 660 loss 5.623409 seconds 0.9607
reference step 670 loss 5.509015 seconds 0.9076
reference step 680 loss 5.405537 seconds 0.9353
reference step 690 loss 5.497214 seconds 0.8769
reference step 700 loss 5.553101 seconds 0.959
reference step 710 loss 5.525139 seconds 0.9676
reference step 720 loss 5.626237 seconds 0.9132
reference step 730 loss 5.516811 seconds 0.9442
reference step 740 loss 5.516813 seconds 0.9853
reference step 750 loss 5.365398 seconds 0.9125
reference step 760 loss 5.517467 seconds 0.917
reference step 770 loss 5.692644 seconds 0.9817
reference step 780 loss 5.464057 seconds 0.9654
reference step 790 loss 5.721159 seconds 1.0013
reference step 800 loss 5.556294 seconds 0.9276
reference step 810 loss 5.357194 seconds 0.9526
reference step 820 loss 5.412023 seconds 0.9132
reference step 830 loss 5.235752 seconds 0.9055
reference step 840 loss 5.334003 seconds 0.9532
reference step 850 loss 5.33183 seconds 0.9297
reference step 860 loss 5.609759 seconds 0.9445
reference step 870 loss 5.340165 seconds 0.9513
reference step 880 loss 5.267358 seconds 1.0058
reference step 890 loss 5.434925 seconds 0.9199
reference step 900 loss 5.288289 seconds 0.9729
reference step 910 loss 5.178137 seconds 0.9327
reference step 920 loss 5.439659 seconds 0.8829
reference step 930 loss 5.222579 seconds 0.9267
reference step 940 loss 5.374442 seconds 0.963
reference step 950 loss 5.368602 seconds 0.9173
reference step 960 loss 5.47127 seconds 0.9322
reference step 970 loss 5.328068 seconds 0.9224
reference step 980 loss 5.241925 seconds 0.9263
reference step 990 loss 5.190576 seconds 0.8826
reference step 1000 loss 5.294465 seconds 0.8932
