step,loss,seconds,tokens,mlx_active_peak_bytes,rss_peak_bytes
0,10.396567821502686,0.9310993329854682,8192,6387065752,2219900928
1,10.359257698059082,0.8444647919968702,8192,7293037592,2219900928
2,10.194265842437744,0.7906805420061573,8192,7293037592,2219900928
3,9.906442642211914,0.7897874579939526,8192,7293037592,2219900928
4,9.615987300872803,0.7909648330241907,8192,7293037592,2219900928
5,9.365530967712402,0.7985049579874612,8192,7293037592,2219900928
6,9.15522050857544,0.8217661249800585,8192,7293037592,2219900928
7,8.958954811096191,0.8075500419945456,8192,7293037592,2219900928
8,8.748136520385742,0.8354917500109877,8192,7293037592,2219900928
9,8.53941822052002,0.8583650419896003,8192,7293037592,2219900928
10,8.524965763092041,0.8675358329783194,8192,7293037592,2219900928
11,8.190258026123047,0.8039937920111697,8192,7293037592,2219900928
12,8.069791793823242,0.7953636659949552,8192,7293037592,2219900928
13,8.180740356445312,0.842473083990626,8192,7293037592,2219900928
14,7.987705230712891,0.9525074590055738,8192,7293037592,2219900928
15,7.929064989089966,0.7995250000094529,8192,7293037592,2219900928
16,7.769845485687256,0.811610542004928,8192,7293037592,2219900928
17,7.817604303359985,0.8043462919886224,8192,7293037592,2219900928
18,7.591647624969482,0.8073639580106828,8192,7293037592,2219900928
19,7.61005973815918,0.7947873749944847,8192,7293037592,2219900928
20,7.5758750438690186,0.7619109579827636,8192,7293037592,2219900928
21,7.610645055770874,0.816831958014518,8192,7293037592,2219900928
22,7.3899595737457275,0.8437936249829363,8192,7293037592,2219900928
23,7.292477130889893,0.8029238750168588,8192,7293037592,2219900928
24,7.470634937286377,0.8051843330031261,8192,7293037592,2219900928
25,7.274133920669556,0.8039595420123078,8192,7293037592,2219900928
26,7.25604248046875,0.8251662500260863,8192,7293037592,2219900928
27,7.48525857925415,0.8134902919991873,8192,7293037592,2219900928
28,7.184758424758911,0.7980569170031231,8192,7293037592,2219900928
29,7.210281133651733,0.8139443339896388,8192,7293037592,2219900928
30,7.092329978942871,0.8582065840018913,8192,7293037592,2219900928
31,7.447880268096924,0.8623147089965641,8192,7293037592,2219900928
32,7.256834983825684,0.8637517089955509,8192,7293037592,2219900928
33,7.044503927230835,0.8553125420003198,8192,7293037592,2219900928
34,7.179111003875732,0.9024098330119159,8192,7293037592,2219900928
35,7.216403484344482,0.8880652079824358,8192,7293037592,2219900928
36,7.181670427322388,0.8664313749759458,8192,7293037592,2219900928
37,7.118193864822388,0.8444113750010729,8192,7293037592,2219900928
38,7.314043760299683,0.8848146250238642,8192,7293037592,2219900928
39,7.253477573394775,0.9134047080005985,8192,7293037592,2219900928
40,7.07985520362854,0.9296230829786509,8192,7293037592,2219900928
41,7.099974632263184,0.8910251250199508,8192,7293037592,2219900928
