step,loss,seconds,tokens,mlx_active_peak_bytes,rss_peak_bytes
0,10.398443222045898,0.04123041601269506,128,302000324,381927424
1,10.39633560180664,0.028956583002582192,128,302393436,381992960
2,10.394407272338867,0.033438999991631135,128,302393436,382091264
3,10.394756317138672,0.03191108399187215,128,302393436,382173184
4,10.398031234741211,0.037795000011101365,128,302393436,382173184
5,10.395079612731934,0.04233575001126155,128,302393436,382238720
6,10.3958101272583,0.03535695798927918,128,302393436,382255104
7,10.394611358642578,0.021519500005524606,128,302393436,382287872
8,10.392141342163086,0.031985915993573144,128,302393436,382287872
9,10.387523651123047,0.029862374998629093,128,302393436,382287872
